date;BBC licence fee;Davis Cup;Liverpool FC Women;Bayern Munich;air travel;isPartial
2023-01-01;0;3;2;23;16;False
2023-01-02;0;4;0;20;19;False
2023-01-03;0;0;0;14;12;False
2023-01-04;0;0;0;14;19;False
2023-01-05;4;2;0;18;15;False
2023-01-06;0;4;2;17;16;False
2023-01-07;0;3;0;9;11;False
2023-01-08;2;4;0;18;18;False
2023-01-09;0;2;0;11;11;False
2023-01-10;0;0;1;10;17;False
2023-01-11;1;2;0;16;19;False
2023-01-12;1;3;0;18;16;False
2023-01-13;1;0;0;33;13;False
2023-01-14;0;4;5;25;12;False
2023-01-15;0;0;0;18;14;False
2023-01-16;0;3;0;11;14;False
2023-01-17;0;0;0;10;12;False
2023-01-18;0;0;0;15;17;False
2023-01-19;0;0;0;11;15;False
2023-01-20;0;0;2;100;13;False
2023-01-21;0;0;3;35;13;False
2023-01-22;0;1;0;15;15;False
2023-01-23;0;1;0;14;15;False
2023-01-24;3;2;2;66;12;False
2023-01-25;1;1;0;26;16;False
2023-01-26;0;0;0;14;14;False
2023-01-27;0;2;0;19;10;False
2023-01-28;0;3;3;64;14;False
2023-01-29;0;0;2;26;13;False
2023-01-30;2;6;0;35;21;False
2023-01-31;1;3;0;57;18;False
