date;Jürgen Klopp;illinois;Adani Group;Broadway;air travel;isPartial
2022-01-02;0;10;0;86;15;False
2022-01-09;0;10;0;83;16;False
2022-01-16;0;11;0;77;13;False
2022-01-23;0;9;0;85;14;False
2022-01-30;0;10;0;90;16;False
2022-02-06;0;10;0;87;16;False
2022-02-13;0;9;0;88;16;False
2022-02-20;0;9;0;92;16;False
2022-02-27;1;9;0;89;14;False
2022-03-06;0;9;0;86;15;False
2022-03-13;0;8;0;85;15;False
2022-03-20;0;9;0;87;15;False
2022-03-27;0;9;0;70;16;False
2022-04-03;0;9;0;86;14;False
2022-04-10;0;8;0;89;12;False
2022-04-17;0;9;0;89;14;False
2022-04-24;0;10;0;99;14;False
2022-05-01;0;11;0;100;15;False
2022-05-08;1;9;0;87;15;False
2022-05-15;1;7;1;82;16;False
2022-05-22;1;11;0;86;15;False
2022-05-29;0;9;0;90;15;False
2022-06-05;0;16;0;87;17;False
2022-06-12;0;10;0;87;15;False
2022-06-19;0;10;0;83;14;False
2022-06-26;0;11;0;88;15;False
2022-07-03;0;22;0;80;15;False
2022-07-10;1;10;0;84;16;False
2022-07-17;0;9;0;86;15;False
2022-07-24;1;10;0;97;15;False
2022-07-31;0;10;0;89;14;False
2022-08-07;0;11;0;92;13;False
2022-08-14;0;8;0;90;13;False
2022-08-21;0;9;0;85;11;False
2022-08-28;0;10;0;93;12;False
2022-09-04;1;10;1;82;13;False
2022-09-11;0;60;0;88;12;False
2022-09-18;0;13;1;86;11;False
2022-09-25;0;11;0;82;11;False
2022-10-02;0;10;0;90;11;False
2022-10-09;1;10;0;84;11;False
2022-10-16;1;10;0;83;10;False
2022-10-23;0;10;0;84;9;False
2022-10-30;0;10;0;77;9;False
2022-11-06;1;10;0;88;10;False
2022-11-13;0;10;0;84;8;False
2022-11-20;0;9;0;78;10;False
2022-11-27;0;8;0;83;10;False
2022-12-04;0;9;0;72;9;False
2022-12-11;0;9;0;80;9;False
2022-12-18;0;10;0;85;8;False
2022-12-25;0;9;0;90;11;False
2023-01-01;0;10;0;87;13;False
2023-01-08;0;9;0;83;12;False
2023-01-15;1;9;0;82;12;False
2023-01-22;0;9;4;87;11;False
2023-01-29;0;9;11;83;12;False
