date;Non-fungible tokens (NFTs);Drugs policy;PlayStation 5;Asda;air travel;isPartial
2022-01-02;0;0;2;66;1;False
2022-01-09;0;0;1;49;1;False
2022-01-16;0;0;1;48;0;False
2022-01-23;0;0;1;52;1;False
2022-01-30;0;0;1;58;1;False
2022-02-06;0;0;1;53;1;False
2022-02-13;0;0;1;52;1;False
2022-02-20;0;0;1;52;1;False
2022-02-27;0;0;1;56;1;False
2022-03-06;0;0;1;51;1;False
2022-03-13;0;0;1;56;1;False
2022-03-20;0;0;1;60;1;False
2022-03-27;0;0;1;56;1;False
2022-04-03;0;0;1;53;1;False
2022-04-10;0;0;1;70;0;False
2022-04-17;0;0;1;66;1;False
2022-04-24;0;0;1;50;1;False
2022-05-01;0;0;1;59;1;False
2022-05-08;0;0;1;55;1;False
2022-05-15;0;0;1;58;1;False
2022-05-22;0;0;1;56;1;False
2022-05-29;0;0;1;74;1;False
2022-06-05;0;0;1;58;1;False
2022-06-12;0;0;1;62;1;False
2022-06-19;0;0;1;59;1;False
2022-06-26;0;0;1;62;1;False
2022-07-03;0;0;1;63;1;False
2022-07-10;0;0;1;66;1;False
2022-07-17;0;0;1;66;1;False
2022-07-24;0;0;1;62;1;False
2022-07-31;0;0;1;62;1;False
2022-08-07;0;0;1;68;1;False
2022-08-14;0;0;1;61;0;False
2022-08-21;0;0;1;63;0;False
2022-08-28;0;0;1;71;0;False
2022-09-04;0;0;1;59;1;False
2022-09-11;0;0;1;66;0;False
2022-09-18;0;0;1;80;0;False
2022-09-25;0;0;2;73;0;False
2022-10-02;0;0;1;65;0;False
2022-10-09;0;0;1;67;0;False
2022-10-16;0;0;1;62;0;False
2022-10-23;0;0;2;66;0;False
2022-10-30;0;0;2;71;0;False
2022-11-06;0;0;2;71;0;False
2022-11-13;0;0;2;76;0;False
2022-11-20;0;0;2;72;0;False
2022-11-27;0;0;2;76;0;False
2022-12-04;0;0;1;70;0;False
2022-12-11;0;0;2;77;0;False
2022-12-18;0;0;2;100;0;False
2022-12-25;0;0;2;87;0;False
2023-01-01;0;0;1;68;0;False
2023-01-08;0;0;1;54;0;False
2023-01-15;0;0;1;54;0;False
2023-01-22;0;0;1;55;0;False
2023-01-29;0;0;1;60;0;False
