date;Energy storage;Nepal;Kenya;Carabao Cup;air travel;isPartial
2022-01-02;1;9;14;22;4;False
2022-01-09;1;8;17;28;5;False
2022-01-16;1;8;15;35;4;False
2022-01-23;1;8;16;7;4;False
2022-01-30;1;8;15;6;5;False
2022-02-06;1;8;15;5;5;False
2022-02-13;1;9;15;5;5;False
2022-02-20;1;9;16;16;5;False
2022-02-27;1;10;16;64;4;False
2022-03-06;1;9;15;1;5;False
2022-03-13;2;9;14;1;4;False
2022-03-20;1;10;15;2;4;False
2022-03-27;2;9;15;1;5;False
2022-04-03;2;9;14;1;4;False
2022-04-10;1;8;14;3;4;False
2022-04-17;1;8;14;3;4;False
2022-04-24;1;9;14;2;4;False
2022-05-01;1;9;15;3;4;False
2022-05-08;1;10;14;5;4;False
2022-05-15;1;12;15;3;5;False
2022-05-22;1;10;15;3;4;False
2022-05-29;1;16;15;2;4;False
2022-06-05;1;9;16;1;5;False
2022-06-12;1;9;15;1;4;False
2022-06-19;1;8;17;5;4;False
2022-06-26;1;8;15;1;4;False
2022-07-03;1;7;16;1;5;False
2022-07-10;1;9;16;1;5;False
2022-07-17;1;8;15;1;5;False
2022-07-24;1;8;17;1;4;False
2022-07-31;1;8;17;2;4;False
2022-08-07;1;8;37;23;4;False
2022-08-14;1;7;24;3;4;False
2022-08-21;1;8;16;50;3;False
2022-08-28;1;9;16;2;4;False
2022-09-04;1;9;19;2;4;False
2022-09-11;1;9;17;2;3;False
2022-09-18;1;10;15;1;3;False
2022-09-25;1;10;16;1;3;False
2022-10-02;2;11;15;1;3;False
2022-10-09;1;11;14;1;3;False
2022-10-16;1;11;15;2;3;False
2022-10-23;1;9;17;2;3;False
2022-10-30;1;10;16;3;3;False
2022-11-06;2;12;16;100;3;False
2022-11-13;1;10;15;4;2;False
2022-11-20;1;12;14;1;3;False
2022-11-27;1;10;14;2;3;False
2022-12-04;1;10;15;1;3;False
2022-12-11;1;8;14;2;3;False
2022-12-18;1;10;13;75;2;False
2022-12-25;1;11;14;6;3;False
2023-01-01;1;10;15;7;4;False
2023-01-08;1;9;16;91;4;False
2023-01-15;2;48;15;8;3;False
2023-01-22;1;11;17;40;3;False
2023-01-29;1;10;17;65;3;False
