date;Sport and leisure books;Michelangelo Merisi da Caravaggio;Washington DC;Volcanoes;air travel;isPartial
2023-01-01;0;0;72;24;50;False
2023-01-02;0;5;75;25;59;False
2023-01-03;0;0;65;37;38;False
2023-01-04;0;6;75;46;58;False
2023-01-05;0;0;73;33;47;False
2023-01-06;0;0;63;25;48;False
2023-01-07;0;0;53;32;35;False
2023-01-08;0;6;51;41;55;False
2023-01-09;0;0;41;46;32;False
2023-01-10;0;0;60;44;51;False
2023-01-11;0;0;68;54;58;False
2023-01-12;0;0;76;39;48;False
2023-01-13;0;0;65;27;39;False
2023-01-14;0;0;100;32;36;False
2023-01-15;0;0;49;33;43;False
2023-01-16;0;0;63;46;44;False
2023-01-17;0;0;55;40;36;False
2023-01-18;0;0;78;34;52;False
2023-01-19;0;0;51;52;47;False
2023-01-20;0;4;57;41;38;False
2023-01-21;0;6;61;33;41;False
2023-01-22;0;0;49;51;46;False
2023-01-23;0;0;72;44;47;False
2023-01-24;0;7;67;38;36;False
2023-01-25;0;0;56;44;49;False
2023-01-26;0;0;62;42;44;False
2023-01-27;0;0;55;26;31;False
2023-01-28;0;0;55;18;43;False
2023-01-29;0;0;47;44;39;False
2023-01-30;0;0;56;53;65;False
2023-01-31;0;0;62;46;55;False
