date;Factual radio;PC;Renting property;Chesterfield;air travel;isPartial
2022-01-02;0;96;0;38;2;False
2022-01-09;0;85;0;23;2;False
2022-01-16;0;75;1;22;2;False
2022-01-23;0;77;1;23;2;False
2022-01-30;0;79;1;24;2;False
2022-02-06;0;70;0;23;2;False
2022-02-13;0;81;0;23;2;False
2022-02-20;0;83;0;25;2;False
2022-02-27;0;71;0;22;2;False
2022-03-06;0;77;0;23;2;False
2022-03-13;0;74;1;19;2;False
2022-03-20;0;66;0;21;2;False
2022-03-27;0;67;0;21;2;False
2022-04-03;0;74;0;20;2;False
2022-04-10;0;76;0;20;2;False
2022-04-17;0;66;0;21;2;False
2022-04-24;0;65;0;20;2;False
2022-05-01;0;69;0;26;2;False
2022-05-08;0;65;1;18;2;False
2022-05-15;0;64;0;22;2;False
2022-05-22;0;55;0;25;2;False
2022-05-29;0;65;0;23;2;False
2022-06-05;0;64;0;20;2;False
2022-06-12;0;66;0;20;2;False
2022-06-19;0;64;0;20;2;False
2022-06-26;0;67;0;21;2;False
2022-07-03;0;63;0;20;2;False
2022-07-10;0;66;0;22;2;False
2022-07-17;0;66;0;24;2;False
2022-07-24;0;68;0;24;2;False
2022-07-31;0;64;0;22;2;False
2022-08-07;0;69;0;24;2;False
2022-08-14;0;64;0;22;2;False
2022-08-21;0;65;0;23;2;False
2022-08-28;0;64;0;24;2;False
2022-09-04;0;65;0;22;2;False
2022-09-11;0;70;0;22;2;False
2022-09-18;0;75;0;20;2;False
2022-09-25;0;75;0;20;2;False
2022-10-02;0;67;0;20;2;False
2022-10-09;0;71;0;21;2;False
2022-10-16;0;68;0;18;1;False
2022-10-23;0;75;0;25;1;False
2022-10-30;0;69;0;22;1;False
2022-11-06;0;76;0;21;1;False
2022-11-13;0;84;0;22;1;False
2022-11-20;0;80;0;19;2;False
2022-11-27;0;75;0;18;1;False
2022-12-04;0;66;0;20;1;False
2022-12-11;0;74;0;20;1;False
2022-12-18;0;79;0;21;1;False
2022-12-25;0;100;0;21;2;False
2023-01-01;0;80;0;25;2;False
2023-01-08;0;70;1;18;2;False
2023-01-15;0;66;0;24;2;False
2023-01-22;0;67;0;21;2;False
2023-01-29;0;70;1;20;2;False
