date;Gwen Stefani;Utah Jazz;artificial intelligence;Middle East and north Africa;air travel;isPartial
2022-01-02;20;11;28;1;66;False
2022-01-09;23;7;33;1;76;False
2022-01-16;30;7;30;1;56;False
2022-01-23;27;7;34;0;62;False
2022-01-30;20;5;31;1;71;False
2022-02-06;21;7;34;2;70;False
2022-02-13;19;4;33;1;71;False
2022-02-20;24;3;27;1;72;False
2022-02-27;22;9;36;1;63;False
2022-03-06;22;6;37;0;66;False
2022-03-13;21;4;41;1;66;False
2022-03-20;19;10;35;0;64;False
2022-03-27;17;8;35;0;68;False
2022-04-03;38;8;29;2;63;False
2022-04-10;31;8;28;1;54;False
2022-04-17;24;11;31;1;59;False
2022-04-24;19;11;33;0;62;False
2022-05-01;73;5;34;1;64;False
2022-05-08;30;6;35;0;66;False
2022-05-15;25;5;39;1;68;False
2022-05-22;20;3;31;1;64;False
2022-05-29;18;4;22;0;66;False
2022-06-05;20;6;31;0;73;False
2022-06-12;19;8;35;0;66;False
2022-06-19;20;6;29;1;60;False
2022-06-26;17;9;31;1;64;False
2022-07-03;21;5;24;0;67;False
2022-07-10;21;6;31;1;70;False
2022-07-17;23;5;26;1;66;False
2022-07-24;27;5;31;0;66;False
2022-07-31;23;1;27;0;59;False
2022-08-07;27;4;31;0;58;False
2022-08-14;20;4;29;1;57;False
2022-08-21;26;3;23;1;49;False
2022-08-28;19;3;26;0;54;False
2022-09-04;20;5;27;1;58;False
2022-09-11;100;4;30;0;51;False
2022-09-18;37;3;25;2;50;False
2022-09-25;34;3;30;1;50;False
2022-10-02;65;4;32;1;48;False
2022-10-09;32;4;35;0;47;False
2022-10-16;37;6;34;1;42;False
2022-10-23;37;10;32;1;39;False
2022-10-30;26;8;37;1;39;False
2022-11-06;23;13;35;0;44;False
2022-11-13;28;8;40;0;36;False
2022-11-20;26;5;34;0;46;False
2022-11-27;25;6;40;0;45;False
2022-12-04;31;4;47;1;38;False
2022-12-11;50;7;44;0;39;False
2022-12-18;42;11;33;1;37;False
2022-12-25;59;7;25;0;49;False
2023-01-01;35;8;39;0;56;False
2023-01-08;58;5;46;1;52;False
2023-01-15;38;5;52;1;51;False
2023-01-22;49;5;47;0;47;False
2023-01-29;40;4;57;0;50;False
