date;Greyhound racing;New Zealand;Securities and Exchange Commission;Democratic Unionist party (DUP);air travel;isPartial
2022-01-02;3;28;0;0;4;False
2022-01-09;3;25;0;0;4;False
2022-01-16;2;24;0;0;3;False
2022-01-23;3;28;0;0;4;False
2022-01-30;3;26;0;0;4;False
2022-02-06;2;23;0;0;4;False
2022-02-13;3;27;0;0;4;False
2022-02-20;3;31;0;0;4;False
2022-02-27;3;28;0;0;4;False
2022-03-06;3;23;0;0;4;False
2022-03-13;3;25;0;0;4;False
2022-03-20;3;27;0;0;4;False
2022-03-27;3;27;0;0;4;False
2022-04-03;3;23;0;0;4;False
2022-04-10;3;20;0;0;3;False
2022-04-17;3;21;0;0;3;False
2022-04-24;2;23;0;0;4;False
2022-05-01;3;24;0;0;4;False
2022-05-08;3;24;0;0;4;False
2022-05-15;3;22;0;0;4;False
2022-05-22;3;23;0;0;4;False
2022-05-29;3;80;0;0;4;False
2022-06-05;3;68;0;0;4;False
2022-06-12;3;100;0;0;4;False
2022-06-19;3;76;0;0;3;False
2022-06-26;3;76;0;0;4;False
2022-07-03;3;36;0;0;4;False
2022-07-10;3;48;0;0;4;False
2022-07-17;3;31;0;0;4;False
2022-07-24;3;32;0;0;4;False
2022-07-31;3;46;0;0;3;False
2022-08-07;3;41;0;0;3;False
2022-08-14;3;33;0;0;3;False
2022-08-21;3;33;0;0;3;False
2022-08-28;3;28;0;0;3;False
2022-09-04;3;35;0;0;3;False
2022-09-11;3;32;0;0;3;False
2022-09-18;3;35;0;0;3;False
2022-09-25;3;36;0;0;3;False
2022-10-02;3;34;0;0;3;False
2022-10-09;3;40;0;0;3;False
2022-10-16;3;37;0;0;2;False
2022-10-23;3;44;0;0;2;False
2022-10-30;3;82;0;0;2;False
2022-11-06;3;74;0;0;2;False
2022-11-13;2;99;0;0;2;False
2022-11-20;3;53;0;0;3;False
2022-11-27;2;34;0;0;3;False
2022-12-04;3;28;0;0;2;False
2022-12-11;3;28;0;0;2;False
2022-12-18;3;38;0;0;2;False
2022-12-25;3;65;0;0;3;False
2023-01-01;3;46;0;0;3;False
2023-01-08;3;48;0;0;3;False
2023-01-15;3;52;0;0;3;False
2023-01-22;3;52;0;0;3;False
2023-01-29;3;47;0;0;3;False
