date;oklahoma;Film adaptations;Muse;Super Mario;air travel;isPartial
2023-01-01;23;0;45;100;23;False
2023-01-02;21;0;44;83;27;False
2023-01-03;19;0;39;66;18;False
2023-01-04;15;0;44;67;27;False
2023-01-05;46;2;47;65;22;False
2023-01-06;26;0;54;72;22;False
2023-01-07;16;0;52;79;16;False
2023-01-08;19;2;53;84;26;False
2023-01-09;20;2;45;64;15;False
2023-01-10;30;0;51;61;24;False
2023-01-11;25;0;47;59;27;False
2023-01-12;17;3;55;56;23;False
2023-01-13;16;2;58;53;18;False
2023-01-14;15;3;45;81;17;False
2023-01-15;22;0;49;87;20;False
2023-01-16;22;0;53;63;21;False
2023-01-17;18;0;49;66;17;False
2023-01-18;18;0;60;54;24;False
2023-01-19;20;3;48;52;22;False
2023-01-20;16;3;53;62;18;False
2023-01-21;20;0;63;82;19;False
2023-01-22;22;0;45;79;21;False
2023-01-23;18;0;58;47;22;False
2023-01-24;13;5;64;52;17;False
2023-01-25;22;4;58;53;23;False
2023-01-26;14;0;51;59;20;False
2023-01-27;18;0;53;57;14;False
2023-01-28;20;2;53;86;20;False
2023-01-29;17;2;53;69;18;False
2023-01-30;23;0;66;64;30;False
2023-01-31;25;2;62;53;25;False
