date;Biopics;Particle physics;Soul;Charlotte Brontë;air travel;isPartial
2022-01-02;0;0;85;0;9;False
2022-01-09;0;1;94;0;10;False
2022-01-16;0;1;83;0;8;False
2022-01-23;0;1;90;0;9;False
2022-01-30;0;1;83;0;10;False
2022-02-06;0;1;82;0;10;False
2022-02-13;0;1;84;0;10;False
2022-02-20;0;1;89;0;10;False
2022-02-27;0;1;86;0;9;False
2022-03-06;0;1;85;0;10;False
2022-03-13;0;1;82;0;9;False
2022-03-20;0;1;91;0;9;False
2022-03-27;0;1;82;0;10;False
2022-04-03;0;2;83;0;9;False
2022-04-10;0;0;86;0;8;False
2022-04-17;0;1;84;0;9;False
2022-04-24;0;1;82;0;9;False
2022-05-01;0;1;88;0;9;False
2022-05-08;0;1;80;0;9;False
2022-05-15;0;1;77;0;10;False
2022-05-22;0;2;85;0;9;False
2022-05-29;0;1;83;0;9;False
2022-06-05;0;2;86;0;11;False
2022-06-12;0;1;82;0;9;False
2022-06-19;0;1;100;0;9;False
2022-06-26;0;1;86;0;9;False
2022-07-03;0;1;87;0;10;False
2022-07-10;0;0;83;0;10;False
2022-07-17;0;1;82;0;10;False
2022-07-24;0;0;91;0;9;False
2022-07-31;0;0;84;0;9;False
2022-08-07;0;0;88;0;8;False
2022-08-14;0;1;80;0;8;False
2022-08-21;0;1;89;0;7;False
2022-08-28;0;1;84;0;8;False
2022-09-04;0;1;86;0;8;False
2022-09-11;0;1;87;0;7;False
2022-09-18;0;0;81;0;7;False
2022-09-25;0;1;77;0;7;False
2022-10-02;0;1;82;0;7;False
2022-10-09;0;1;79;0;7;False
2022-10-16;0;1;75;0;6;False
2022-10-23;0;1;84;0;6;False
2022-10-30;0;1;82;0;6;False
2022-11-06;0;1;76;0;6;False
2022-11-13;0;1;97;0;5;False
2022-11-20;0;1;72;0;7;False
2022-11-27;0;0;77;0;6;False
2022-12-04;0;1;66;0;5;False
2022-12-11;0;1;72;0;6;False
2022-12-18;0;0;77;0;5;False
2022-12-25;0;0;82;0;7;False
2023-01-01;0;1;87;0;8;False
2023-01-08;0;1;81;0;7;False
2023-01-15;0;1;92;0;7;False
2023-01-22;0;1;87;0;7;False
2023-01-29;0;1;87;0;7;False
