date;Carlos Acosta;Renting property;Juggling;Antarctica holidays;air travel;isPartial
2023-01-01;0;15;0;0;76;False
2023-01-02;15;17;12;5;90;False
2023-01-03;27;11;15;0;59;False
2023-01-04;8;19;0;0;89;False
2023-01-05;0;29;9;0;73;False
2023-01-06;5;15;21;0;73;False
2023-01-07;0;23;11;11;53;False
2023-01-08;12;24;0;0;84;False
2023-01-09;0;12;0;10;50;False
2023-01-10;0;25;0;0;79;False
2023-01-11;0;16;0;0;90;False
2023-01-12;9;24;0;0;75;False
2023-01-13;8;21;19;0;60;False
2023-01-14;0;30;20;8;56;False
2023-01-15;0;20;0;0;66;False
2023-01-16;0;17;21;0;68;False
2023-01-17;0;34;5;0;56;False
2023-01-18;0;15;0;13;80;False
2023-01-19;0;20;18;0;73;False
2023-01-20;0;16;13;0;59;False
2023-01-21;0;8;22;0;63;False
2023-01-22;0;12;17;0;70;False
2023-01-23;13;31;15;5;72;False
2023-01-24;0;17;15;15;55;False
2023-01-25;0;31;9;0;75;False
2023-01-26;0;20;0;0;68;False
2023-01-27;0;8;8;0;47;False
2023-01-28;0;0;12;0;66;False
2023-01-29;11;13;12;0;60;False
2023-01-30;0;30;8;0;100;False
2023-01-31;0;24;0;9;84;False
