date;Palace of Westminster;Child rights;david lammy;Food banks;air travel;isPartial
2022-01-02;3;19;9;24;71;False
2022-01-09;4;23;7;26;77;False
2022-01-16;2;26;5;28;60;False
2022-01-23;5;25;8;24;67;False
2022-01-30;12;21;6;30;75;False
2022-02-06;9;22;23;26;76;False
2022-02-13;3;20;8;22;76;False
2022-02-20;5;22;18;19;77;False
2022-02-27;3;24;15;21;68;False
2022-03-06;3;25;14;20;71;False
2022-03-13;3;21;4;20;71;False
2022-03-20;11;24;5;26;69;False
2022-03-27;3;19;4;30;73;False
2022-04-03;10;20;2;0;67;False
2022-04-10;4;19;16;0;58;False
2022-04-17;4;22;8;0;65;False
2022-04-24;3;21;4;0;67;False
2022-05-01;5;24;9;0;69;False
2022-05-08;7;25;4;0;71;False
2022-05-15;4;26;5;0;73;False
2022-05-22;6;19;6;0;69;False
2022-05-29;7;14;5;0;71;False
2022-06-05;7;23;12;0;79;False
2022-06-12;3;24;7;0;69;False
2022-06-19;4;18;16;0;64;False
2022-06-26;3;16;26;0;69;False
2022-07-03;9;17;12;0;73;False
2022-07-10;3;15;5;0;75;False
2022-07-17;5;14;6;0;72;False
2022-07-24;4;13;3;0;71;False
2022-07-31;5;12;3;0;64;False
2022-08-07;4;13;6;0;62;False
2022-08-14;4;18;3;0;61;False
2022-08-21;4;18;2;0;53;False
2022-08-28;3;17;3;0;58;False
2022-09-04;19;21;9;0;63;False
2022-09-11;100;21;4;0;55;False
2022-09-18;24;22;6;0;52;False
2022-09-25;5;22;11;0;54;False
2022-10-02;3;26;6;0;52;False
2022-10-09;5;19;7;0;49;False
2022-10-16;5;21;5;0;45;False
2022-10-23;7;20;23;0;42;False
2022-10-30;10;17;7;0;42;False
2022-11-06;6;19;3;0;47;False
2022-11-13;4;24;3;0;39;False
2022-11-20;5;22;3;0;49;False
2022-11-27;2;23;4;0;48;False
2022-12-04;4;24;4;0;41;False
2022-12-11;4;19;1;0;42;False
2022-12-18;3;13;3;0;39;False
2022-12-25;3;10;3;0;52;False
2023-01-01;5;16;2;0;61;False
2023-01-08;5;27;10;0;56;False
2023-01-15;6;25;3;0;55;False
2023-01-22;5;23;13;0;50;False
2023-01-29;6;22;5;0;54;False
