date;ministry of justice;david duchovny;Avalanches;police;air travel;isPartial
2023-01-01;0;0;0;58;2;False
2023-01-02;1;0;0;58;2;False
2023-01-03;1;0;0;62;1;False
2023-01-04;0;0;0;59;2;False
2023-01-05;1;0;0;56;2;False
2023-01-06;0;0;0;59;2;False
2023-01-07;0;0;0;50;1;False
2023-01-08;0;0;0;55;2;False
2023-01-09;1;0;0;61;1;False
2023-01-10;1;0;0;65;2;False
2023-01-11;0;0;0;62;2;False
2023-01-12;1;0;0;63;2;False
2023-01-13;0;0;0;61;1;False
2023-01-14;0;0;0;57;1;False
2023-01-15;0;0;0;64;1;False
2023-01-16;1;0;0;100;1;False
2023-01-17;0;0;0;85;1;False
2023-01-18;1;0;0;77;2;False
2023-01-19;1;0;0;73;2;False
2023-01-20;0;0;0;68;1;False
2023-01-21;0;0;0;58;1;False
2023-01-22;0;0;0;57;1;False
2023-01-23;0;0;0;67;2;False
2023-01-24;1;0;0;68;1;False
2023-01-25;0;0;0;66;2;False
2023-01-26;1;0;0;64;1;False
2023-01-27;0;0;0;69;1;False
2023-01-28;0;1;0;79;1;False
2023-01-29;0;1;0;72;1;False
2023-01-30;1;0;0;71;2;False
2023-01-31;0;1;0;69;2;False
