date;Pork;Maria Grazia Chiuri;Caribbean food and drink;Sam Bankman-Fried;air travel;isPartial
2022-01-02;84;0;0;0;6;False
2022-01-09;84;0;0;0;6;False
2022-01-16;83;0;0;0;5;False
2022-01-23;79;0;0;0;5;False
2022-01-30;89;0;0;0;6;False
2022-02-06;74;0;0;0;6;False
2022-02-13;65;0;0;0;6;False
2022-02-20;75;0;0;0;6;False
2022-02-27;66;0;0;0;5;False
2022-03-06;70;0;0;0;6;False
2022-03-13;71;0;0;0;6;False
2022-03-20;66;0;0;0;5;False
2022-03-27;61;0;0;0;6;False
2022-04-03;66;0;0;0;5;False
2022-04-10;67;0;0;0;5;False
2022-04-17;63;0;0;0;5;False
2022-04-24;58;0;0;0;5;False
2022-05-01;67;0;0;0;5;False
2022-05-08;61;0;0;0;6;False
2022-05-15;62;0;0;0;6;False
2022-05-22;56;0;0;0;6;False
2022-05-29;68;0;0;0;6;False
2022-06-05;64;0;0;0;6;False
2022-06-12;63;0;0;0;5;False
2022-06-19;66;0;0;0;5;False
2022-06-26;65;0;0;0;5;False
2022-07-03;66;0;0;0;6;False
2022-07-10;62;0;0;0;6;False
2022-07-17;58;0;0;0;6;False
2022-07-24;67;0;0;0;6;False
2022-07-31;62;0;0;0;5;False
2022-08-07;68;0;0;0;5;False
2022-08-14;60;0;0;0;5;False
2022-08-21;66;0;0;0;4;False
2022-08-28;69;0;0;0;5;False
2022-09-04;65;0;0;0;5;False
2022-09-11;73;0;0;0;4;False
2022-09-18;75;0;0;0;4;False
2022-09-25;76;0;0;0;4;False
2022-10-02;80;0;0;0;4;False
2022-10-09;82;0;0;0;4;False
2022-10-16;81;0;0;0;4;False
2022-10-23;80;0;0;0;3;False
2022-10-30;79;0;0;0;3;False
2022-11-06;80;0;0;6;4;False
2022-11-13;82;0;0;7;3;False
2022-11-20;73;0;0;2;4;False
2022-11-27;73;0;0;2;4;False
2022-12-04;73;0;0;1;3;False
2022-12-11;75;0;0;7;3;False
2022-12-18;100;0;0;4;3;False
2022-12-25;91;0;0;2;4;False
2023-01-01;81;0;0;1;5;False
2023-01-08;81;0;0;1;4;False
2023-01-15;85;0;0;0;4;False
2023-01-22;83;0;0;0;4;False
2023-01-29;84;0;0;0;4;False
