date;Rolls-Royce;The Fabelmans;Kiribati;Pharrell Williams;air travel;isPartial
2022-01-02;13;0;3;6;31;False
2022-01-09;15;0;3;6;35;False
2022-01-16;15;0;32;7;26;False
2022-01-23;17;0;7;9;29;False
2022-01-30;17;0;3;8;33;False
2022-02-06;15;0;3;6;33;False
2022-02-13;18;0;2;9;33;False
2022-02-20;19;0;2;12;33;False
2022-02-27;18;0;5;11;29;False
2022-03-06;20;0;3;12;31;False
2022-03-13;16;0;3;9;31;False
2022-03-20;16;0;4;10;30;False
2022-03-27;17;0;14;9;32;False
2022-04-03;15;0;5;15;29;False
2022-04-10;16;0;3;10;25;False
2022-04-17;14;0;5;10;28;False
2022-04-24;16;0;4;10;29;False
2022-05-01;14;0;3;10;30;False
2022-05-08;17;0;3;11;31;False
2022-05-15;18;0;3;9;32;False
2022-05-22;18;0;4;8;30;False
2022-05-29;15;0;5;10;31;False
2022-06-05;16;0;3;7;34;False
2022-06-12;15;0;4;10;31;False
2022-06-19;17;0;4;7;28;False
2022-06-26;17;0;3;7;30;False
2022-07-03;17;0;3;7;31;False
2022-07-10;19;0;7;8;33;False
2022-07-17;18;0;3;10;31;False
2022-07-24;18;1;8;8;31;False
2022-07-31;19;0;9;9;27;False
2022-08-07;17;0;3;7;27;False
2022-08-14;15;0;2;6;26;False
2022-08-21;16;0;2;9;23;False
2022-08-28;15;0;3;10;25;False
2022-09-04;16;1;3;6;27;False
2022-09-11;17;11;4;8;24;False
2022-09-18;15;3;7;7;23;False
2022-09-25;15;1;3;8;23;False
2022-10-02;17;2;3;7;22;False
2022-10-09;17;2;3;7;22;False
2022-10-16;18;1;3;7;20;False
2022-10-23;17;1;2;7;18;False
2022-10-30;17;2;3;7;18;False
2022-11-06;16;4;3;6;20;False
2022-11-13;17;4;3;6;17;False
2022-11-20;13;5;3;6;21;False
2022-11-27;16;6;4;5;21;False
2022-12-04;14;3;2;6;18;False
2022-12-11;15;19;18;5;18;False
2022-12-18;14;18;6;5;17;False
2022-12-25;10;19;10;9;23;False
2023-01-01;14;16;6;7;26;False
2023-01-08;18;47;3;5;24;False
2023-01-15;17;46;4;6;24;False
2023-01-22;20;100;4;5;22;False
2023-01-29;16;83;4;5;23;False
