date;BBC;US television;Vivienne Westwood;Melbourne;air travel;isPartial
2022-01-02;71;0;0;1;0;False
2022-01-09;72;0;0;1;0;False
2022-01-16;65;0;0;0;0;False
2022-01-23;59;0;0;0;0;False
2022-01-30;74;0;0;0;0;False
2022-02-06;64;0;0;0;0;False
2022-02-13;75;0;0;0;0;False
2022-02-20;91;0;0;0;0;False
2022-02-27;87;0;0;0;0;False
2022-03-06;77;0;0;0;0;False
2022-03-13;73;0;0;0;0;False
2022-03-20;62;0;0;0;0;False
2022-03-27;63;0;0;0;0;False
2022-04-03;64;0;0;1;0;False
2022-04-10;69;0;0;0;0;False
2022-04-17;64;0;0;0;0;False
2022-04-24;61;0;0;0;0;False
2022-05-01;72;0;0;0;0;False
2022-05-08;72;0;0;0;0;False
2022-05-15;73;0;0;0;0;False
2022-05-22;64;0;0;0;0;False
2022-05-29;70;0;0;0;0;False
2022-06-05;64;0;0;0;0;False
2022-06-12;68;0;0;0;0;False
2022-06-19;64;0;0;0;0;False
2022-06-26;69;0;0;0;0;False
2022-07-03;81;0;0;0;0;False
2022-07-10;74;0;0;2;0;False
2022-07-17;81;0;0;0;0;False
2022-07-24;64;0;0;0;0;False
2022-07-31;66;0;0;0;0;False
2022-08-07;76;0;0;0;0;False
2022-08-14;69;0;0;0;0;False
2022-08-21;74;0;0;0;0;False
2022-08-28;69;0;0;0;0;False
2022-09-04;100;0;0;0;0;False
2022-09-11;74;0;0;0;0;False
2022-09-18;67;0;0;0;0;False
2022-09-25;64;0;0;0;0;False
2022-10-02;67;0;0;0;0;False
2022-10-09;67;0;0;1;0;False
2022-10-16;78;0;0;1;0;False
2022-10-23;75;0;0;1;0;False
2022-10-30;67;0;0;1;0;False
2022-11-06;68;0;0;1;0;False
2022-11-13;66;0;0;1;0;False
2022-11-20;75;0;1;0;0;False
2022-11-27;68;0;0;0;0;False
2022-12-04;71;0;0;0;0;False
2022-12-11;75;0;0;0;0;False
2022-12-18;67;0;0;1;0;False
2022-12-25;63;0;5;1;0;False
2023-01-01;65;0;1;1;0;False
2023-01-08;70;0;1;1;0;False
2023-01-15;70;0;0;1;0;False
2023-01-22;64;0;0;1;0;False
2023-01-29;67;0;0;0;0;False
