date;YouTube;aung san suu kyi;Scottish politics;Care Quality Commission (CQC);air travel;isPartial
2022-01-02;89;0;0;0;0;False
2022-01-09;92;0;0;0;0;False
2022-01-16;84;0;0;0;0;False
2022-01-23;88;0;0;0;0;False
2022-01-30;94;0;0;0;0;False
2022-02-06;90;0;0;0;0;False
2022-02-13;84;0;0;0;0;False
2022-02-20;91;0;0;0;0;False
2022-02-27;87;0;0;0;0;False
2022-03-06;86;0;0;0;0;False
2022-03-13;85;0;0;0;0;False
2022-03-20;91;0;0;0;0;False
2022-03-27;84;0;0;0;0;False
2022-04-03;84;0;0;0;0;False
2022-04-10;86;0;0;0;0;False
2022-04-17;83;0;0;0;0;False
2022-04-24;83;0;0;0;0;False
2022-05-01;91;0;0;0;0;False
2022-05-08;88;0;0;0;0;False
2022-05-15;91;0;0;0;0;False
2022-05-22;99;0;0;0;0;False
2022-05-29;96;0;0;0;0;False
2022-06-05;95;0;0;0;0;False
2022-06-12;100;0;0;0;0;False
2022-06-19;89;0;0;0;0;False
2022-06-26;89;0;0;0;0;False
2022-07-03;90;0;0;0;0;False
2022-07-10;97;0;0;0;0;False
2022-07-17;90;0;0;0;0;False
2022-07-24;84;0;0;0;0;False
2022-07-31;81;0;0;0;0;False
2022-08-07;88;0;0;0;0;False
2022-08-14;83;0;0;0;0;False
2022-08-21;94;0;0;0;0;False
2022-08-28;91;0;0;0;0;False
2022-09-04;88;0;0;0;0;False
2022-09-11;89;0;0;0;0;False
2022-09-18;84;0;0;0;0;False
2022-09-25;83;0;0;0;0;False
2022-10-02;91;0;0;0;0;False
2022-10-09;86;0;0;0;0;False
2022-10-16;83;0;0;0;0;False
2022-10-23;86;0;0;0;0;False
2022-10-30;84;0;0;0;0;False
2022-11-06;94;0;0;0;0;False
2022-11-13;88;0;0;0;0;False
2022-11-20;82;0;0;0;0;False
2022-11-27;87;0;0;0;0;False
2022-12-04;82;0;0;0;0;False
2022-12-11;85;0;0;0;0;False
2022-12-18;84;0;0;0;0;False
2022-12-25;88;0;0;0;0;False
2023-01-01;78;0;0;0;0;False
2023-01-08;85;0;0;0;0;False
2023-01-15;87;0;0;0;0;False
2023-01-22;91;0;0;0;0;False
2023-01-29;86;0;0;0;0;False
