date;Foreign policy;Aid;crime;Awards and prizes;air travel;isPartial
2022-01-02;0;19;0;0;2;False
2022-01-09;0;20;0;0;2;False
2022-01-16;0;20;0;0;2;False
2022-01-23;1;23;0;0;2;False
2022-01-30;0;24;0;0;2;False
2022-02-06;0;19;0;0;2;False
2022-02-13;0;21;0;0;2;False
2022-02-20;1;23;0;0;2;False
2022-02-27;1;28;0;0;2;False
2022-03-06;0;24;0;0;2;False
2022-03-13;1;22;0;0;2;False
2022-03-20;1;25;0;0;2;False
2022-03-27;1;23;0;0;2;False
2022-04-03;0;20;0;0;2;False
2022-04-10;0;19;0;0;2;False
2022-04-17;0;19;0;0;2;False
2022-04-24;1;24;0;0;2;False
2022-05-01;1;25;0;0;2;False
2022-05-08;1;22;0;0;2;False
2022-05-15;1;22;0;0;2;False
2022-05-22;1;24;0;0;2;False
2022-05-29;0;20;0;0;2;False
2022-06-05;0;33;0;0;2;False
2022-06-12;0;100;0;0;2;False
2022-06-19;0;24;0;0;2;False
2022-06-26;0;24;0;0;2;False
2022-07-03;0;22;0;0;2;False
2022-07-10;0;23;0;0;2;False
2022-07-17;0;21;0;0;2;False
2022-07-24;0;21;0;0;2;False
2022-07-31;0;19;0;0;2;False
2022-08-07;0;19;0;0;2;False
2022-08-14;0;19;0;0;2;False
2022-08-21;0;20;0;0;2;False
2022-08-28;0;20;0;0;2;False
2022-09-04;0;20;0;0;2;False
2022-09-11;0;20;0;0;2;False
2022-09-18;0;18;0;0;2;False
2022-09-25;0;21;0;0;2;False
2022-10-02;0;22;0;0;2;False
2022-10-09;1;20;0;0;1;False
2022-10-16;0;20;0;0;1;False
2022-10-23;0;20;0;0;1;False
2022-10-30;1;22;0;0;1;False
2022-11-06;0;24;0;0;1;False
2022-11-13;0;22;0;0;1;False
2022-11-20;0;20;0;0;1;False
2022-11-27;1;25;0;0;1;False
2022-12-04;0;23;0;0;1;False
2022-12-11;0;20;0;0;1;False
2022-12-18;0;22;0;0;1;False
2022-12-25;0;17;0;0;2;False
2023-01-01;0;21;0;0;2;False
2023-01-08;0;21;0;0;2;False
2023-01-15;0;22;0;0;2;False
2023-01-22;0;22;0;0;1;False
2023-01-29;0;21;0;0;2;False
