date;Marine Le Pen;Asda;Mental health;BBC Symphony Orchestra;air travel;isPartial
2023-01-01;0;100;3;0;0;False
2023-01-02;0;95;4;0;1;False
2023-01-03;0;49;6;0;0;False
2023-01-04;0;43;7;0;0;False
2023-01-05;0;47;7;0;0;False
2023-01-06;0;43;6;0;0;False
2023-01-07;0;49;4;0;0;False
2023-01-08;0;54;5;0;0;False
2023-01-09;0;43;7;0;0;False
2023-01-10;0;40;7;0;0;False
2023-01-11;0;41;7;0;1;False
2023-01-12;0;44;8;0;0;False
2023-01-13;0;47;6;0;0;False
2023-01-14;0;50;4;0;0;False
2023-01-15;0;50;5;0;0;False
2023-01-16;0;40;7;0;0;False
2023-01-17;0;38;7;0;0;False
2023-01-18;0;43;7;0;0;False
2023-01-19;0;42;7;0;0;False
2023-01-20;0;46;7;0;0;False
2023-01-21;0;47;4;0;0;False
2023-01-22;0;52;5;0;0;False
2023-01-23;0;44;8;0;0;False
2023-01-24;0;44;8;0;0;False
2023-01-25;0;42;8;0;0;False
2023-01-26;0;45;8;0;0;False
2023-01-27;0;46;6;0;0;False
2023-01-28;0;51;4;0;0;False
2023-01-29;0;51;4;0;0;False
2023-01-30;0;45;8;0;1;False
2023-01-31;0;44;8;0;0;False
