date;Deloitte;Sovereign wealth funds;Santa Cruz;Florida;air travel;isPartial
2022-01-02;4;0;3;33;3;False
2022-01-09;5;0;4;33;4;False
2022-01-16;5;0;3;28;3;False
2022-01-23;6;0;3;32;3;False
2022-01-30;6;0;3;31;4;False
2022-02-06;6;0;3;28;4;False
2022-02-13;5;0;3;30;4;False
2022-02-20;6;0;3;32;4;False
2022-02-27;6;0;3;26;3;False
2022-03-06;5;0;3;30;4;False
2022-03-13;5;0;3;35;3;False
2022-03-20;5;0;4;36;3;False
2022-03-27;5;0;3;33;4;False
2022-04-03;5;0;3;34;3;False
2022-04-10;4;0;3;36;3;False
2022-04-17;5;0;3;36;3;False
2022-04-24;5;0;3;34;3;False
2022-05-01;5;0;3;38;3;False
2022-05-08;5;0;3;37;3;False
2022-05-15;5;0;3;35;4;False
2022-05-22;5;0;3;32;3;False
2022-05-29;4;0;3;31;3;False
2022-06-05;5;0;3;37;4;False
2022-06-12;5;0;3;36;3;False
2022-06-19;5;0;3;33;3;False
2022-06-26;4;0;3;31;3;False
2022-07-03;5;0;3;32;4;False
2022-07-10;5;0;3;35;4;False
2022-07-17;4;0;3;39;4;False
2022-07-24;4;0;4;40;3;False
2022-07-31;4;0;3;41;3;False
2022-08-07;4;0;4;41;3;False
2022-08-14;4;0;3;38;3;False
2022-08-21;5;0;3;35;3;False
2022-08-28;4;0;3;36;3;False
2022-09-04;5;0;3;38;3;False
2022-09-11;5;0;3;35;3;False
2022-09-18;5;0;3;31;3;False
2022-09-25;6;0;3;100;3;False
2022-10-02;6;0;3;37;3;False
2022-10-09;7;0;3;26;2;False
2022-10-16;6;0;3;24;2;False
2022-10-23;5;0;3;23;2;False
2022-10-30;7;0;3;23;2;False
2022-11-06;6;0;3;32;2;False
2022-11-13;6;0;3;22;2;False
2022-11-20;5;0;3;17;2;False
2022-11-27;5;0;3;18;2;False
2022-12-04;5;0;3;16;2;False
2022-12-11;5;0;3;18;2;False
2022-12-18;4;0;3;26;2;False
2022-12-25;2;0;3;35;3;False
2023-01-01;4;0;4;33;3;False
2023-01-08;6;0;4;29;3;False
2023-01-15;6;0;3;28;3;False
2023-01-22;5;0;3;27;2;False
2023-01-29;6;0;3;29;3;False
