date;Fargo;Austria holidays;olympics;Lucy Powell;air travel;isPartial
2023-01-01;20;9;96;0;26;False
2023-01-02;16;16;75;5;31;False
2023-01-03;24;8;70;0;20;False
2023-01-04;27;7;70;0;30;False
2023-01-05;22;7;62;2;25;False
2023-01-06;34;7;70;5;25;False
2023-01-07;44;9;72;0;18;False
2023-01-08;32;5;78;0;29;False
2023-01-09;26;3;68;5;17;False
2023-01-10;22;3;76;3;27;False
2023-01-11;29;7;63;4;31;False
2023-01-12;21;7;72;5;25;False
2023-01-13;23;9;98;0;20;False
2023-01-14;24;11;69;0;19;False
2023-01-15;20;16;94;3;23;False
2023-01-16;21;5;86;2;23;False
2023-01-17;20;3;79;2;19;False
2023-01-18;19;8;70;0;27;False
2023-01-19;16;8;71;0;25;False
2023-01-20;24;4;72;0;20;False
2023-01-21;19;6;70;4;21;False
2023-01-22;18;7;90;0;24;False
2023-01-23;24;7;70;0;24;False
2023-01-24;26;2;77;0;19;False
2023-01-25;25;3;88;3;26;False
2023-01-26;24;3;81;4;23;False
2023-01-27;15;4;79;2;16;False
2023-01-28;17;5;76;0;22;False
2023-01-29;21;0;100;0;21;False
2023-01-30;27;4;90;0;34;False
2023-01-31;20;6;81;0;29;False
