date;Cheltenham;Beef;Science fiction books;Barnaby Joyce;air travel;isPartial
2022-01-02;14;24;0;0;1;False
2022-01-09;12;22;0;0;1;False
2022-01-16;13;19;0;0;1;False
2022-01-23;15;21;0;0;1;False
2022-01-30;15;19;0;0;1;False
2022-02-06;16;18;0;0;1;False
2022-02-13;15;18;0;0;1;False
2022-02-20;16;17;0;0;1;False
2022-02-27;17;16;0;0;1;False
2022-03-06;24;17;0;0;1;False
2022-03-13;100;16;0;0;1;False
2022-03-20;15;16;0;0;1;False
2022-03-27;12;16;0;0;1;False
2022-04-03;13;16;0;0;1;False
2022-04-10;14;17;0;0;1;False
2022-04-17;12;14;0;0;1;False
2022-04-24;13;13;0;0;1;False
2022-05-01;12;15;0;0;1;False
2022-05-08;11;13;0;0;1;False
2022-05-15;11;14;0;0;1;False
2022-05-22;11;13;0;0;1;False
2022-05-29;12;14;0;0;1;False
2022-06-05;12;14;0;0;1;False
2022-06-12;13;12;0;0;1;False
2022-06-19;12;14;0;0;1;False
2022-06-26;12;14;0;0;1;False
2022-07-03;12;14;0;0;1;False
2022-07-10;12;12;0;0;1;False
2022-07-17;13;12;0;0;1;False
2022-07-24;13;14;0;0;1;False
2022-07-31;13;14;0;0;1;False
2022-08-07;14;13;0;0;1;False
2022-08-14;11;13;0;0;1;False
2022-08-21;12;14;0;0;1;False
2022-08-28;13;16;0;0;1;False
2022-09-04;12;16;0;0;1;False
2022-09-11;12;18;0;0;1;False
2022-09-18;12;19;0;0;1;False
2022-09-25;12;19;0;0;1;False
2022-10-02;13;22;0;0;1;False
2022-10-09;12;20;0;0;1;False
2022-10-16;13;20;0;0;1;False
2022-10-23;12;22;0;0;1;False
2022-10-30;12;21;0;0;1;False
2022-11-06;15;23;0;0;1;False
2022-11-13;12;23;0;0;1;False
2022-11-20;11;20;0;0;1;False
2022-11-27;11;21;0;0;1;False
2022-12-04;12;23;0;0;1;False
2022-12-11;13;23;0;0;1;False
2022-12-18;12;38;0;0;1;False
2022-12-25;13;39;0;0;1;False
2023-01-01;14;25;0;0;1;False
2023-01-08;14;22;0;0;1;False
2023-01-15;14;24;0;0;1;False
2023-01-22;14;25;0;0;1;False
2023-01-29;13;21;0;0;1;False
