date;Literary criticism;Fast food;Narendra Modi;Naturism;air travel;isPartial
2022-01-02;1;96;6;5;53;False
2022-01-09;1;85;5;2;58;False
2022-01-16;2;78;1;2;45;False
2022-01-23;2;96;1;4;50;False
2022-01-30;1;92;4;2;57;False
2022-02-06;1;88;6;4;57;False
2022-02-13;2;94;4;4;57;False
2022-02-20;1;87;6;4;58;False
2022-02-27;1;80;3;3;51;False
2022-03-06;2;100;6;4;54;False
2022-03-13;1;88;3;9;53;False
2022-03-20;5;91;4;3;52;False
2022-03-27;2;92;5;5;55;False
2022-04-03;1;95;3;4;50;False
2022-04-10;1;92;4;4;44;False
2022-04-17;1;97;6;5;49;False
2022-04-24;1;82;3;4;50;False
2022-05-01;1;96;6;3;52;False
2022-05-08;0;89;4;6;53;False
2022-05-15;2;90;5;4;55;False
2022-05-22;2;90;5;5;52;False
2022-05-29;0;96;9;4;53;False
2022-06-05;1;89;4;6;59;False
2022-06-12;1;83;4;4;52;False
2022-06-19;1;80;4;4;48;False
2022-06-26;1;86;3;4;52;False
2022-07-03;1;85;3;4;55;False
2022-07-10;1;85;4;6;57;False
2022-07-17;0;91;4;5;54;False
2022-07-24;0;89;2;5;53;False
2022-07-31;1;90;3;4;48;False
2022-08-07;0;95;3;7;47;False
2022-08-14;1;83;4;4;46;False
2022-08-21;0;91;3;4;40;False
2022-08-28;1;96;4;6;44;False
2022-09-04;1;89;5;4;47;False
2022-09-11;0;89;15;3;41;False
2022-09-18;1;93;14;4;39;False
2022-09-25;1;88;6;1;41;False
2022-10-02;2;86;2;4;39;False
2022-10-09;1;89;5;4;37;False
2022-10-16;1;87;3;4;34;False
2022-10-23;1;95;6;4;32;False
2022-10-30;2;80;3;2;31;False
2022-11-06;1;84;3;3;35;False
2022-11-13;1;79;7;3;30;False
2022-11-20;3;77;2;4;37;False
2022-11-27;2;87;3;4;36;False
2022-12-04;1;88;4;4;31;False
2022-12-11;1;81;3;3;32;False
2022-12-18;0;85;3;3;30;False
2022-12-25;0;92;15;4;39;False
2023-01-01;2;92;5;3;45;False
2023-01-08;1;85;4;4;42;False
2023-01-15;1;90;11;3;41;False
2023-01-22;0;83;12;3;38;False
2023-01-29;1;87;6;4;41;False
