date;Job losses;dublin;Sexual violence;justin bieber;air travel;isPartial
2023-01-01;0;80;0;11;5;False
2023-01-02;0;92;1;10;6;False
2023-01-03;0;92;1;7;4;False
2023-01-04;0;89;1;7;6;False
2023-01-05;1;83;0;8;5;False
2023-01-06;0;84;0;8;5;False
2023-01-07;0;83;0;9;3;False
2023-01-08;0;100;0;8;5;False
2023-01-09;0;85;1;6;3;False
2023-01-10;0;83;0;7;5;False
2023-01-11;0;80;1;7;6;False
2023-01-12;0;87;1;6;5;False
2023-01-13;1;87;0;7;4;False
2023-01-14;1;82;0;11;4;False
2023-01-15;1;91;0;10;4;False
2023-01-16;0;86;1;8;4;False
2023-01-17;0;80;1;7;4;False
2023-01-18;0;81;1;6;5;False
2023-01-19;1;78;0;7;5;False
2023-01-20;1;85;0;7;4;False
2023-01-21;0;87;0;11;4;False
2023-01-22;0;94;0;8;4;False
2023-01-23;0;93;2;6;5;False
2023-01-24;0;85;1;10;3;False
2023-01-25;1;81;1;27;5;False
2023-01-26;1;83;0;16;4;False
2023-01-27;0;82;1;16;3;False
2023-01-28;1;84;0;13;4;False
2023-01-29;0;88;1;13;4;False
2023-01-30;0;94;2;8;6;False
2023-01-31;1;81;1;8;5;False
