date;Toronto;Spanish food and drink;Kamala Harris;Fight Club;air travel;isPartial
2022-01-02;44;0;3;10;13;False
2022-01-09;44;0;2;11;15;False
2022-01-16;40;0;4;24;11;False
2022-01-23;39;0;2;20;12;False
2022-01-30;40;0;2;15;14;False
2022-02-06;39;0;1;14;14;False
2022-02-13;39;0;3;10;14;False
2022-02-20;38;0;3;11;14;False
2022-02-27;39;0;5;8;12;False
2022-03-06;38;0;7;9;13;False
2022-03-13;43;0;3;10;13;False
2022-03-20;43;0;3;11;13;False
2022-03-27;42;0;2;10;13;False
2022-04-03;43;0;3;9;12;False
2022-04-10;45;0;2;10;11;False
2022-04-17;45;0;2;12;12;False
2022-04-24;43;0;3;11;12;False
2022-05-01;48;0;2;12;13;False
2022-05-08;47;0;1;10;13;False
2022-05-15;47;0;1;10;13;False
2022-05-22;45;0;1;10;13;False
2022-05-29;50;0;2;10;13;False
2022-06-05;51;0;1;9;14;False
2022-06-12;55;0;1;8;13;False
2022-06-19;66;0;2;8;12;False
2022-06-26;100;0;2;9;13;False
2022-07-03;66;0;2;9;13;False
2022-07-10;65;0;1;10;14;False
2022-07-17;61;0;2;10;13;False
2022-07-24;61;0;2;11;13;False
2022-07-31;56;0;2;11;12;False
2022-08-07;78;0;2;12;11;False
2022-08-14;56;0;1;13;11;False
2022-08-21;56;0;1;12;10;False
2022-08-28;55;0;1;15;11;False
2022-09-04;53;0;1;13;12;False
2022-09-11;54;0;1;15;10;False
2022-09-18;50;0;1;16;10;False
2022-09-25;50;0;2;14;10;False
2022-10-02;46;0;5;12;9;False
2022-10-09;48;0;1;12;9;False
2022-10-16;45;0;2;12;8;False
2022-10-23;45;0;2;13;8;False
2022-10-30;45;0;2;13;8;False
2022-11-06;46;0;3;11;9;False
2022-11-13;46;0;3;12;7;False
2022-11-20;42;0;2;11;9;False
2022-11-27;42;0;1;11;9;False
2022-12-04;39;0;4;11;7;False
2022-12-11;44;0;3;10;8;False
2022-12-18;59;0;2;12;7;False
2022-12-25;56;0;3;15;9;False
2023-01-01;50;0;2;13;11;False
2023-01-08;46;0;4;11;10;False
2023-01-15;48;0;3;13;10;False
2023-01-22;49;0;2;15;9;False
2023-01-29;49;0;2;10;10;False
