date;Friendship;Wayne McGregor;Cricket;Richard Sharp;air travel;isPartial
2022-01-02;2;0;39;0;1;False
2022-01-09;2;0;35;0;1;False
2022-01-16;2;0;26;0;1;False
2022-01-23;2;0;27;0;1;False
2022-01-30;3;0;24;0;1;False
2022-02-06;3;0;18;0;1;False
2022-02-13;2;0;17;0;1;False
2022-02-20;2;0;18;0;1;False
2022-02-27;2;0;23;0;1;False
2022-03-06;2;0;42;0;1;False
2022-03-13;2;0;38;0;1;False
2022-03-20;2;0;47;0;1;False
2022-03-27;2;0;32;0;1;False
2022-04-03;2;0;27;0;1;False
2022-04-10;2;0;28;0;1;False
2022-04-17;2;0;35;0;1;False
2022-04-24;2;0;35;0;1;False
2022-05-01;2;0;38;0;1;False
2022-05-08;2;0;40;0;1;False
2022-05-15;2;0;41;0;1;False
2022-05-22;2;0;38;0;1;False
2022-05-29;2;0;70;0;1;False
2022-06-05;2;0;65;0;1;False
2022-06-12;2;0;100;0;1;False
2022-06-19;2;0;82;0;1;False
2022-06-26;2;0;92;0;1;False
2022-07-03;2;0;80;0;1;False
2022-07-10;2;0;74;0;1;False
2022-07-17;2;0;71;0;1;False
2022-07-24;3;0;66;0;1;False
2022-07-31;3;0;54;0;1;False
2022-08-07;3;0;42;0;1;False
2022-08-14;2;0;55;0;1;False
2022-08-21;2;0;61;0;1;False
2022-08-28;2;0;58;0;1;False
2022-09-04;2;0;63;0;1;False
2022-09-11;2;0;48;0;1;False
2022-09-18;2;0;42;0;1;False
2022-09-25;2;0;41;0;1;False
2022-10-02;2;0;31;0;1;False
2022-10-09;2;0;32;0;1;False
2022-10-16;2;0;37;0;1;False
2022-10-23;2;0;50;0;1;False
2022-10-30;2;0;62;0;1;False
2022-11-06;2;0;58;0;1;False
2022-11-13;3;0;41;0;0;False
2022-11-20;2;0;20;0;1;False
2022-11-27;2;0;32;0;1;False
2022-12-04;2;0;44;0;1;False
2022-12-11;2;0;34;0;1;False
2022-12-18;2;0;32;0;0;False
2022-12-25;2;0;25;0;1;False
2023-01-01;2;0;27;0;1;False
2023-01-08;2;0;26;0;1;False
2023-01-15;2;0;23;0;1;False
2023-01-22;2;0;24;1;1;False
2023-01-29;2;0;30;0;1;False
