date;Quarterly results;Stock markets;Barcelona;Pope John Paul II;air travel;isPartial
2022-01-02;0;1;36;0;3;False
2022-01-09;0;1;43;0;3;False
2022-01-16;0;1;30;0;2;False
2022-01-23;0;1;33;0;3;False
2022-01-30;0;1;40;0;3;False
2022-02-06;0;0;44;0;3;False
2022-02-13;0;1;46;0;3;False
2022-02-20;0;1;55;0;3;False
2022-02-27;0;1;42;0;3;False
2022-03-06;0;1;48;0;3;False
2022-03-13;0;1;59;0;3;False
2022-03-20;0;0;76;0;3;False
2022-03-27;0;0;43;0;3;False
2022-04-03;0;0;59;0;3;False
2022-04-10;0;0;68;0;2;False
2022-04-17;0;0;66;0;3;False
2022-04-24;0;0;50;0;3;False
2022-05-01;0;0;53;0;3;False
2022-05-08;0;1;46;0;3;False
2022-05-15;0;1;51;0;3;False
2022-05-22;0;1;53;0;3;False
2022-05-29;0;0;47;0;3;False
2022-06-05;0;0;45;0;3;False
2022-06-12;0;1;41;0;3;False
2022-06-19;0;1;41;0;3;False
2022-06-26;0;1;39;0;3;False
2022-07-03;0;0;40;0;3;False
2022-07-10;0;0;49;0;3;False
2022-07-17;0;0;56;0;3;False
2022-07-24;0;0;67;0;3;False
2022-07-31;0;0;48;0;2;False
2022-08-07;0;0;69;0;2;False
2022-08-14;0;0;41;0;2;False
2022-08-21;0;0;100;0;2;False
2022-08-28;0;0;66;0;2;False
2022-09-04;0;0;63;0;2;False
2022-09-11;0;0;64;0;2;False
2022-09-18;0;1;38;0;2;False
2022-09-25;0;1;40;0;2;False
2022-10-02;0;1;47;0;2;False
2022-10-09;0;1;55;0;2;False
2022-10-16;0;1;64;0;2;False
2022-10-23;0;1;59;0;2;False
2022-10-30;0;0;41;0;2;False
2022-11-06;0;1;50;0;2;False
2022-11-13;0;0;27;0;2;False
2022-11-20;0;0;25;0;2;False
2022-11-27;0;0;29;0;2;False
2022-12-04;0;0;24;0;2;False
2022-12-11;0;0;23;0;2;False
2022-12-18;0;0;27;0;2;False
2022-12-25;0;0;39;1;2;False
2023-01-01;0;1;45;1;2;False
2023-01-08;0;0;52;0;2;False
2023-01-15;0;0;66;0;2;False
2023-01-22;0;0;50;0;2;False
2023-01-29;0;0;45;0;2;False
