date;Sinn Féin;Essex holidays;Poetry;Arizona;air travel;isPartial
2023-01-01;0;6;62;55;21;False
2023-01-02;0;13;100;45;25;False
2023-01-03;0;8;83;45;16;False
2023-01-04;2;6;72;48;25;False
2023-01-05;0;9;80;40;21;False
2023-01-06;0;3;69;41;21;False
2023-01-07;0;6;69;39;15;False
2023-01-08;0;5;88;46;24;False
2023-01-09;0;6;90;35;14;False
2023-01-10;0;3;92;51;22;False
2023-01-11;2;5;92;39;25;False
2023-01-12;0;4;82;39;21;False
2023-01-13;1;5;81;43;17;False
2023-01-14;0;2;56;37;16;False
2023-01-15;0;6;78;41;19;False
2023-01-16;0;4;80;40;19;False
2023-01-17;0;3;79;35;16;False
2023-01-18;0;3;95;47;23;False
2023-01-19;0;3;80;44;20;False
2023-01-20;0;2;82;40;17;False
2023-01-21;4;6;65;44;18;False
2023-01-22;0;5;74;60;20;False
2023-01-23;2;5;91;40;20;False
2023-01-24;0;3;87;44;15;False
2023-01-25;0;3;99;49;21;False
2023-01-26;6;3;94;44;19;False
2023-01-27;0;5;82;36;13;False
2023-01-28;2;4;63;49;19;False
2023-01-29;4;8;77;41;17;False
2023-01-30;0;2;96;43;28;False
2023-01-31;0;2;97;52;24;False
