date;Stephen Daldry;Kim Kardashian;Debt relief;UK job furlough scheme;air travel;isPartial
2022-01-02;0;33;1;0;9;False
2022-01-09;0;31;1;0;10;False
2022-01-16;0;32;2;0;8;False
2022-01-23;0;34;2;0;9;False
2022-01-30;0;33;1;0;10;False
2022-02-06;0;35;2;0;10;False
2022-02-13;0;47;1;0;10;False
2022-02-20;0;36;2;0;10;False
2022-02-27;0;36;2;0;9;False
2022-03-06;0;39;2;0;9;False
2022-03-13;0;50;2;0;9;False
2022-03-20;0;32;2;0;9;False
2022-03-27;0;27;1;0;9;False
2022-04-03;0;28;2;0;9;False
2022-04-10;0;67;2;0;7;False
2022-04-17;0;51;1;0;8;False
2022-04-24;0;37;2;0;9;False
2022-05-01;0;100;2;0;9;False
2022-05-08;0;40;2;0;9;False
2022-05-15;0;36;2;0;9;False
2022-05-22;0;38;2;0;9;False
2022-05-29;0;43;2;0;9;False
2022-06-05;0;32;2;0;10;False
2022-06-12;0;39;2;0;9;False
2022-06-19;0;31;2;0;8;False
2022-06-26;0;29;2;0;9;False
2022-07-03;0;27;2;0;9;False
2022-07-10;0;29;2;0;10;False
2022-07-17;0;21;1;0;9;False
2022-07-24;0;21;2;0;9;False
2022-07-31;0;41;2;0;8;False
2022-08-07;0;40;1;0;8;False
2022-08-14;0;25;2;0;8;False
2022-08-21;0;23;2;0;7;False
2022-08-28;0;24;1;0;7;False
2022-09-04;0;27;1;0;8;False
2022-09-11;0;25;2;0;7;False
2022-09-18;0;24;1;0;7;False
2022-09-25;0;26;2;0;7;False
2022-10-02;0;29;2;0;7;False
2022-10-09;0;25;2;0;6;False
2022-10-16;0;25;3;0;6;False
2022-10-23;0;33;2;0;5;False
2022-10-30;0;25;2;0;5;False
2022-11-06;0;25;2;0;6;False
2022-11-13;0;24;2;0;5;False
2022-11-20;0;21;1;0;6;False
2022-11-27;0;35;1;0;6;False
2022-12-04;0;20;2;0;5;False
2022-12-11;0;16;2;0;5;False
2022-12-18;0;16;1;0;5;False
2022-12-25;0;25;1;0;7;False
2023-01-01;0;20;2;0;8;False
2023-01-08;0;23;2;0;7;False
2023-01-15;0;23;3;0;7;False
2023-01-22;0;20;2;0;6;False
2023-01-29;0;19;2;0;7;False
