date;New South Wales;Folk music;Harriet Harman;wirral;air travel;isPartial
2023-01-01;4;2;1;66;10;False
2023-01-02;4;2;0;80;12;False
2023-01-03;4;3;1;89;8;False
2023-01-04;2;2;0;82;11;False
2023-01-05;3;4;1;76;9;False
2023-01-06;1;2;0;67;9;False
2023-01-07;2;3;2;59;7;False
2023-01-08;4;4;0;62;11;False
2023-01-09;3;3;0;72;6;False
2023-01-10;4;4;0;77;10;False
2023-01-11;5;3;0;75;11;False
2023-01-12;3;3;1;82;10;False
2023-01-13;4;3;0;100;8;False
2023-01-14;3;1;0;62;7;False
2023-01-15;4;3;1;71;8;False
2023-01-16;3;2;0;75;9;False
2023-01-17;3;1;1;82;7;False
2023-01-18;4;2;0;76;10;False
2023-01-19;4;3;0;79;9;False
2023-01-20;2;5;2;73;8;False
2023-01-21;4;2;0;66;8;False
2023-01-22;3;3;1;62;9;False
2023-01-23;0;5;0;75;9;False
2023-01-24;3;2;0;65;7;False
2023-01-25;4;0;1;73;10;False
2023-01-26;4;2;0;66;9;False
2023-01-27;2;2;1;74;6;False
2023-01-28;2;3;1;59;8;False
2023-01-29;5;2;0;65;8;False
2023-01-30;4;2;0;74;13;False
2023-01-31;2;2;0;73;11;False
