date;Talk radio;Tasmania;Insurance industry;Instagram;air travel;isPartial
2022-01-02;1;1;0;98;1;False
2022-01-09;1;1;0;92;1;False
2022-01-16;1;1;0;84;1;False
2022-01-23;1;0;0;95;1;False
2022-01-30;1;0;0;100;1;False
2022-02-06;1;1;0;93;1;False
2022-02-13;1;0;0;89;1;False
2022-02-20;1;0;0;96;1;False
2022-02-27;1;1;0;91;1;False
2022-03-06;1;0;0;87;1;False
2022-03-13;1;1;0;100;1;False
2022-03-20;1;0;0;92;1;False
2022-03-27;1;0;0;94;1;False
2022-04-03;1;0;0;93;1;False
2022-04-10;1;0;0;100;1;False
2022-04-17;1;0;0;95;1;False
2022-04-24;1;0;0;84;1;False
2022-05-01;1;1;0;92;1;False
2022-05-08;1;0;0;97;1;False
2022-05-15;1;1;0;95;1;False
2022-05-22;1;1;0;92;1;False
2022-05-29;1;0;0;93;1;False
2022-06-05;1;0;0;95;1;False
2022-06-12;1;0;0;91;1;False
2022-06-19;1;1;0;88;1;False
2022-06-26;1;0;0;93;1;False
2022-07-03;1;1;0;91;1;False
2022-07-10;1;1;0;97;1;False
2022-07-17;1;1;0;85;1;False
2022-07-24;1;0;0;92;1;False
2022-07-31;1;0;0;85;1;False
2022-08-07;1;1;0;93;1;False
2022-08-14;1;0;0;81;1;False
2022-08-21;1;1;0;86;1;False
2022-08-28;1;1;0;90;1;False
2022-09-04;1;1;0;82;1;False
2022-09-11;1;1;0;89;1;False
2022-09-18;1;1;0;85;1;False
2022-09-25;1;1;0;90;1;False
2022-10-02;1;1;0;92;1;False
2022-10-09;1;1;0;78;1;False
2022-10-16;1;1;0;74;1;False
2022-10-23;1;1;0;84;1;False
2022-10-30;1;1;0;87;1;False
2022-11-06;1;1;0;80;1;False
2022-11-13;1;1;0;79;1;False
2022-11-20;1;1;0;70;1;False
2022-11-27;1;1;0;73;1;False
2022-12-04;1;0;0;74;1;False
2022-12-11;1;1;0;82;1;False
2022-12-18;1;1;0;85;1;False
2022-12-25;0;1;0;85;1;False
2023-01-01;1;1;0;80;1;False
2023-01-08;1;1;0;76;1;False
2023-01-15;1;1;0;81;1;False
2023-01-22;1;1;0;83;1;False
2023-01-29;1;1;0;83;1;False
