date;Commercial property;Primark;John Howard;Food festivals;air travel;isPartial
2022-01-02;4;28;0;0;2;False
2022-01-09;4;26;0;0;2;False
2022-01-16;5;29;0;0;2;False
2022-01-23;5;29;0;0;2;False
2022-01-30;5;30;0;0;2;False
2022-02-06;5;34;0;0;2;False
2022-02-13;4;33;0;0;2;False
2022-02-20;4;38;0;0;2;False
2022-02-27;4;35;0;0;2;False
2022-03-06;4;33;0;0;2;False
2022-03-13;5;34;0;0;2;False
2022-03-20;4;38;0;0;2;False
2022-03-27;4;34;0;0;2;False
2022-04-03;4;51;0;0;2;False
2022-04-10;4;52;0;0;2;False
2022-04-17;4;48;0;0;2;False
2022-04-24;4;45;0;0;2;False
2022-05-01;4;51;0;0;2;False
2022-05-08;4;43;0;0;2;False
2022-05-15;4;47;0;0;2;False
2022-05-22;4;51;0;0;2;False
2022-05-29;3;69;0;0;2;False
2022-06-05;4;50;0;0;2;False
2022-06-12;4;51;0;1;2;False
2022-06-19;3;59;0;0;2;False
2022-06-26;4;56;0;1;2;False
2022-07-03;4;58;0;0;2;False
2022-07-10;4;100;0;0;2;False
2022-07-17;4;58;0;0;2;False
2022-07-24;4;54;0;0;2;False
2022-07-31;4;47;0;0;2;False
2022-08-07;4;57;0;0;2;False
2022-08-14;3;46;0;0;2;False
2022-08-21;4;48;0;0;1;False
2022-08-28;4;49;0;1;2;False
2022-09-04;4;42;0;0;2;False
2022-09-11;4;47;0;0;2;False
2022-09-18;4;53;0;0;1;False
2022-09-25;4;61;0;0;2;False
2022-10-02;4;53;0;0;1;False
2022-10-09;4;57;0;0;1;False
2022-10-16;4;52;0;0;1;False
2022-10-23;4;55;0;0;1;False
2022-10-30;4;50;0;0;1;False
2022-11-06;3;60;0;0;1;False
2022-11-13;4;92;0;0;1;False
2022-11-20;3;66;0;0;1;False
2022-11-27;4;70;0;0;1;False
2022-12-04;4;70;0;0;1;False
2022-12-11;4;68;0;0;1;False
2022-12-18;3;62;0;0;1;False
2022-12-25;3;59;0;0;1;False
2023-01-01;4;42;0;0;2;False
2023-01-08;5;32;0;0;2;False
2023-01-15;5;39;0;0;2;False
2023-01-22;5;40;0;0;1;False
2023-01-29;5;38;0;0;2;False
