date;TV crime drama;Cologne;Manga;Zendaya;air travel;isPartial
2022-01-02;1;16;75;88;12;False
2022-01-09;1;16;79;68;14;False
2022-01-16;1;15;73;58;11;False
2022-01-23;1;15;79;67;12;False
2022-01-30;0;17;81;68;13;False
2022-02-06;1;18;78;66;13;False
2022-02-13;1;17;91;74;13;False
2022-02-20;1;17;100;56;14;False
2022-02-27;0;16;86;48;12;False
2022-03-06;1;16;85;40;13;False
2022-03-13;0;16;87;36;12;False
2022-03-20;0;17;95;31;12;False
2022-03-27;1;17;89;44;13;False
2022-04-03;1;18;100;34;12;False
2022-04-10;0;19;100;31;10;False
2022-04-17;1;16;96;28;11;False
2022-04-24;0;18;86;24;12;False
2022-05-01;0;19;88;32;12;False
2022-05-08;1;20;88;19;12;False
2022-05-15;1;21;87;17;13;False
2022-05-22;0;18;73;23;12;False
2022-05-29;0;20;86;29;12;False
2022-06-05;1;21;82;19;14;False
2022-06-12;0;24;82;35;12;False
2022-06-19;0;21;93;20;11;False
2022-06-26;1;21;77;19;12;False
2022-07-03;1;22;82;15;13;False
2022-07-10;0;25;86;22;13;False
2022-07-17;0;24;91;21;13;False
2022-07-24;0;22;83;19;12;False
2022-07-31;1;22;81;16;11;False
2022-08-07;0;23;91;16;11;False
2022-08-14;0;21;87;18;11;False
2022-08-21;1;24;80;17;9;False
2022-08-28;1;22;75;23;10;False
2022-09-04;0;24;74;16;11;False
2022-09-11;0;23;71;28;10;False
2022-09-18;1;21;72;17;9;False
2022-09-25;1;21;69;13;9;False
2022-10-02;1;21;68;18;9;False
2022-10-09;1;21;73;14;9;False
2022-10-16;1;21;70;14;8;False
2022-10-23;1;23;86;14;7;False
2022-10-30;1;22;67;14;7;False
2022-11-06;0;25;70;18;8;False
2022-11-13;0;28;69;15;7;False
2022-11-20;0;29;68;19;9;False
2022-11-27;1;31;75;40;8;False
2022-12-04;0;30;70;22;7;False
2022-12-11;0;30;72;16;7;False
2022-12-18;0;29;88;19;7;False
2022-12-25;1;29;97;22;9;False
2023-01-01;1;21;93;22;11;False
2023-01-08;1;19;75;21;10;False
2023-01-15;0;19;80;18;10;False
2023-01-22;1;21;77;14;9;False
2023-01-29;1;22;79;14;10;False
