date;Miley Cyrus;Childcare;Janet Malcolm;Data and computer security;air travel;isPartial
2022-01-02;16;51;0;0;6;False
2022-01-09;7;43;0;0;7;False
2022-01-16;9;39;0;0;5;False
2022-01-23;8;48;0;0;6;False
2022-01-30;7;58;0;0;6;False
2022-02-06;7;35;0;0;6;False
2022-02-13;9;31;0;0;6;False
2022-02-20;6;40;0;0;7;False
2022-02-27;6;52;0;0;6;False
2022-03-06;6;38;0;0;6;False
2022-03-13;7;38;0;0;6;False
2022-03-20;11;51;0;0;6;False
2022-03-27;10;55;0;0;6;False
2022-04-03;7;42;0;0;6;False
2022-04-10;7;25;0;0;5;False
2022-04-17;6;32;0;0;5;False
2022-04-24;8;50;0;0;6;False
2022-05-01;8;45;0;0;6;False
2022-05-08;6;37;0;0;6;False
2022-05-15;8;35;0;0;6;False
2022-05-22;6;43;0;0;6;False
2022-05-29;6;35;0;0;6;False
2022-06-05;6;54;0;0;7;False
2022-06-12;8;40;0;0;6;False
2022-06-19;6;46;0;0;5;False
2022-06-26;6;57;0;0;6;False
2022-07-03;6;54;0;0;6;False
2022-07-10;6;38;0;0;6;False
2022-07-17;5;39;0;0;6;False
2022-07-24;6;49;0;0;6;False
2022-07-31;6;50;0;0;5;False
2022-08-07;7;31;0;0;5;False
2022-08-14;6;33;0;0;5;False
2022-08-21;7;44;0;0;4;False
2022-08-28;7;54;0;0;5;False
2022-09-04;6;50;0;0;5;False
2022-09-11;5;45;0;0;5;False
2022-09-18;5;42;0;0;4;False
2022-09-25;5;55;0;0;5;False
2022-10-02;6;53;0;0;4;False
2022-10-09;6;44;0;0;4;False
2022-10-16;6;38;0;0;4;False
2022-10-23;7;46;0;0;4;False
2022-10-30;6;53;0;0;4;False
2022-11-06;8;40;0;0;4;False
2022-11-13;7;35;0;0;3;False
2022-11-20;7;38;0;0;4;False
2022-11-27;8;51;0;0;4;False
2022-12-04;7;35;0;0;3;False
2022-12-11;8;31;0;0;4;False
2022-12-18;8;31;0;0;3;False
2022-12-25;9;29;0;0;4;False
2023-01-01;20;66;0;0;5;False
2023-01-08;19;49;0;0;5;False
2023-01-15;100;48;0;0;5;False
2023-01-22;79;52;0;0;4;False
2023-01-29;41;66;0;0;5;False
