date;Pinterest;Lenny Henry;Sharon Stone;harry styles;air travel;isPartial
2022-01-02;28;1;1;10;4;False
2022-01-09;26;1;1;13;4;False
2022-01-16;26;1;1;33;3;False
2022-01-23;30;1;1;64;3;False
2022-01-30;31;1;1;18;4;False
2022-02-06;25;1;2;12;4;False
2022-02-13;30;1;2;9;4;False
2022-02-20;29;1;1;13;4;False
2022-02-27;27;1;1;10;4;False
2022-03-06;28;1;1;11;4;False
2022-03-13;25;8;1;10;4;False
2022-03-20;27;2;1;12;4;False
2022-03-27;28;1;1;26;4;False
2022-04-03;29;1;1;20;3;False
2022-04-10;27;1;1;23;3;False
2022-04-17;25;1;1;33;3;False
2022-04-24;27;0;3;32;3;False
2022-05-01;26;0;1;34;4;False
2022-05-08;30;0;1;28;4;False
2022-05-15;28;1;1;37;4;False
2022-05-22;27;1;2;42;4;False
2022-05-29;28;1;1;56;4;False
2022-06-05;31;2;1;48;4;False
2022-06-12;27;5;1;100;4;False
2022-06-19;29;3;1;69;3;False
2022-06-26;28;1;1;24;4;False
2022-07-03;27;1;1;23;4;False
2022-07-10;28;1;1;20;4;False
2022-07-17;28;2;1;18;4;False
2022-07-24;29;4;3;22;4;False
2022-07-31;29;1;1;25;3;False
2022-08-07;26;1;1;17;3;False
2022-08-14;26;1;1;17;3;False
2022-08-21;35;1;2;42;3;False
2022-08-28;30;12;4;96;3;False
2022-09-04;32;5;1;66;3;False
2022-09-11;36;2;1;27;3;False
2022-09-18;34;2;1;21;3;False
2022-09-25;32;1;1;26;3;False
2022-10-02;34;1;1;18;3;False
2022-10-09;33;11;1;15;3;False
2022-10-16;32;2;1;18;2;False
2022-10-23;32;1;1;17;2;False
2022-10-30;29;1;2;21;2;False
2022-11-06;32;2;1;22;2;False
2022-11-13;30;1;1;21;2;False
2022-11-20;28;1;1;16;3;False
2022-11-27;32;1;1;16;2;False
2022-12-04;26;4;1;13;2;False
2022-12-11;27;2;1;13;2;False
2022-12-18;28;1;1;17;2;False
2022-12-25;28;3;1;17;3;False
2023-01-01;32;1;2;15;3;False
2023-01-08;32;1;1;15;3;False
2023-01-15;32;1;1;14;3;False
2023-01-22;33;1;1;14;3;False
2023-01-29;35;1;2;18;3;False
