date;Rugby league;Budget travel;Republicanism;Carlos Acosta;air travel;isPartial
2022-01-02;8;0;0;0;5;False
2022-01-09;10;0;0;1;5;False
2022-01-16;12;0;0;2;4;False
2022-01-23;14;1;0;1;4;False
2022-01-30;18;0;0;0;5;False
2022-02-06;26;0;0;1;5;False
2022-02-13;28;0;0;0;5;False
2022-02-20;32;1;0;0;5;False
2022-02-27;21;0;0;0;4;False
2022-03-06;27;0;0;0;5;False
2022-03-13;25;0;0;0;5;False
2022-03-20;28;1;0;0;5;False
2022-03-27;28;1;0;0;5;False
2022-04-03;22;0;0;0;4;False
2022-04-10;31;0;0;1;4;False
2022-04-17;33;0;0;0;4;False
2022-04-24;27;0;0;0;4;False
2022-05-01;23;1;0;0;5;False
2022-05-08;18;0;0;0;5;False
2022-05-15;25;0;0;0;5;False
2022-05-22;23;0;0;0;5;False
2022-05-29;19;0;0;0;5;False
2022-06-05;21;1;0;0;5;False
2022-06-12;24;0;0;0;5;False
2022-06-19;18;0;0;0;4;False
2022-06-26;23;1;0;0;5;False
2022-07-03;23;0;0;0;5;False
2022-07-10;26;0;0;0;5;False
2022-07-17;26;1;0;0;5;False
2022-07-24;26;1;0;0;5;False
2022-07-31;22;1;0;0;4;False
2022-08-07;24;0;0;0;4;False
2022-08-14;23;0;0;0;4;False
2022-08-21;24;1;0;0;3;False
2022-08-28;34;0;0;0;4;False
2022-09-04;25;0;0;0;4;False
2022-09-11;26;1;0;0;4;False
2022-09-18;30;0;0;0;3;False
2022-09-25;22;0;0;0;4;False
2022-10-02;36;1;0;0;3;False
2022-10-09;70;0;0;0;3;False
2022-10-16;93;0;0;0;3;False
2022-10-23;72;0;0;0;3;False
2022-10-30;79;0;0;0;3;False
2022-11-06;100;0;0;0;3;False
2022-11-13;67;0;0;0;3;False
2022-11-20;15;0;0;0;3;False
2022-11-27;11;0;0;0;3;False
2022-12-04;9;0;0;0;3;False
2022-12-11;7;0;0;0;3;False
2022-12-18;8;0;0;0;3;False
2022-12-25;9;0;0;0;3;False
2023-01-01;9;1;0;0;4;False
2023-01-08;10;0;0;0;4;False
2023-01-15;10;1;0;0;4;False
2023-01-22;11;1;0;0;3;False
2023-01-29;15;1;0;0;4;False
