date;Planned Parenthood;Stanley Kubrick;Amazon rainforest;Minnesota Vikings;air travel;isPartial
2022-01-02;1;16;39;16;90;False
2022-01-09;1;9;55;14;98;False
2022-01-16;3;10;64;3;77;False
2022-01-23;3;14;61;9;84;False
2022-01-30;3;14;53;15;95;False
2022-02-06;2;11;58;6;96;False
2022-02-13;2;9;37;6;96;False
2022-02-20;3;12;36;5;98;False
2022-02-27;0;10;50;4;86;False
2022-03-06;3;11;51;8;90;False
2022-03-13;2;12;55;8;90;False
2022-03-20;3;11;48;6;88;False
2022-03-27;4;18;51;5;93;False
2022-04-03;3;12;32;2;85;False
2022-04-10;1;11;18;2;74;False
2022-04-17;2;10;29;5;82;False
2022-04-24;3;6;48;8;84;False
2022-05-01;9;16;56;6;87;False
2022-05-08;5;11;60;5;89;False
2022-05-15;4;12;57;5;93;False
2022-05-22;5;11;54;6;88;False
2022-05-29;4;11;18;1;90;False
2022-06-05;3;8;56;2;100;False
2022-06-12;4;10;62;5;87;False
2022-06-19;22;10;41;0;81;False
2022-06-26;18;10;48;3;87;False
2022-07-03;8;10;37;3;92;False
2022-07-10;4;13;31;5;95;False
2022-07-17;4;11;22;3;91;False
2022-07-24;4;17;12;6;90;False
2022-07-31;3;10;14;4;81;False
2022-08-07;4;14;16;6;78;False
2022-08-14;4;11;13;9;77;False
2022-08-21;2;47;12;7;67;False
2022-08-28;4;14;15;9;74;False
2022-09-04;3;12;21;10;80;False
2022-09-11;1;10;35;21;69;False
2022-09-18;3;13;42;20;66;False
2022-09-25;1;12;42;20;68;False
2022-10-02;4;10;41;35;65;False
2022-10-09;4;14;33;12;63;False
2022-10-16;4;12;46;15;57;False
2022-10-23;6;15;24;10;53;False
2022-10-30;3;10;37;17;53;False
2022-11-06;3;18;38;17;59;False
2022-11-13;2;11;40;25;50;False
2022-11-20;4;18;38;26;62;False
2022-11-27;3;16;41;10;61;False
2022-12-04;3;16;34;10;52;False
2022-12-11;2;14;25;26;53;False
2022-12-18;1;15;16;21;50;False
2022-12-25;1;17;15;14;66;False
2023-01-01;3;15;35;15;77;False
2023-01-08;3;12;49;16;71;False
2023-01-15;2;11;54;24;69;False
2023-01-22;1;10;50;7;64;False
2023-01-29;3;9;49;5;69;False
