date;Americas;oceans;covid-19;Salvador Dalí;air travel;isPartial
2022-01-02;20;22;100;1;15;False
2022-01-09;24;22;77;1;17;False
2022-01-16;24;18;75;0;13;False
2022-01-23;23;20;66;0;14;False
2022-01-30;24;24;63;0;16;False
2022-02-06;24;25;56;0;16;False
2022-02-13;21;19;45;1;16;False
2022-02-20;25;21;49;0;17;False
2022-02-27;21;22;47;1;15;False
2022-03-06;22;25;52;0;15;False
2022-03-13;24;22;57;0;15;False
2022-03-20;23;19;59;0;15;False
2022-03-27;26;17;52;0;16;False
2022-04-03;23;17;46;0;14;False
2022-04-10;24;19;43;0;12;False
2022-04-17;22;19;36;0;14;False
2022-04-24;23;17;35;0;14;False
2022-05-01;25;19;34;0;15;False
2022-05-08;23;17;33;0;15;False
2022-05-15;23;19;27;0;16;False
2022-05-22;22;21;26;0;15;False
2022-05-29;23;21;24;0;15;False
2022-06-05;23;24;27;0;17;False
2022-06-12;24;19;29;0;15;False
2022-06-19;25;18;30;0;14;False
2022-06-26;25;17;35;0;15;False
2022-07-03;22;15;38;0;16;False
2022-07-10;22;17;37;0;16;False
2022-07-17;23;20;30;0;15;False
2022-07-24;22;20;24;0;15;False
2022-07-31;21;15;21;0;14;False
2022-08-07;23;15;19;0;13;False
2022-08-14;20;15;18;0;13;False
2022-08-21;20;15;16;0;11;False
2022-08-28;25;15;18;0;13;False
2022-09-04;25;14;19;0;14;False
2022-09-11;25;19;22;0;12;False
2022-09-18;24;18;21;0;11;False
2022-09-25;25;15;22;0;12;False
2022-10-02;24;16;24;0;11;False
2022-10-09;20;17;23;0;11;False
2022-10-16;22;15;22;0;10;False
2022-10-23;20;13;21;0;9;False
2022-10-30;20;14;18;0;9;False
2022-11-06;20;15;18;0;10;False
2022-11-13;20;16;17;0;8;False
2022-11-20;18;14;14;0;11;False
2022-11-27;21;14;17;0;10;False
2022-12-04;17;13;16;0;9;False
2022-12-11;19;13;17;0;9;False
2022-12-18;20;13;16;0;8;False
2022-12-25;25;18;15;0;11;False
2023-01-01;24;21;15;1;13;False
2023-01-08;26;16;15;0;12;False
2023-01-15;25;19;12;0;12;False
2023-01-22;25;17;12;0;11;False
2023-01-29;23;18;13;0;12;False
