date;Steve Borthwick;Film adaptations;Janis Joplin;US debt ceiling;air travel;isPartial
2022-01-02;1;2;14;2;90;False
2022-01-09;1;0;14;1;98;False
2022-01-16;3;3;19;0;77;False
2022-01-23;1;3;14;0;84;False
2022-01-30;3;2;21;0;95;False
2022-02-06;2;1;18;0;96;False
2022-02-13;3;4;11;0;96;False
2022-02-20;1;3;10;0;98;False
2022-02-27;3;3;13;0;86;False
2022-03-06;0;3;9;0;90;False
2022-03-13;0;3;15;1;90;False
2022-03-20;0;2;13;0;88;False
2022-03-27;4;3;10;0;93;False
2022-04-03;0;2;13;0;85;False
2022-04-10;1;0;13;0;74;False
2022-04-17;2;1;15;0;82;False
2022-04-24;1;2;8;1;84;False
2022-05-01;1;0;11;0;87;False
2022-05-08;1;5;8;0;89;False
2022-05-15;0;2;28;4;93;False
2022-05-22;0;3;8;1;88;False
2022-05-29;0;1;14;0;90;False
2022-06-05;0;0;16;0;100;False
2022-06-12;5;2;13;0;87;False
2022-06-19;3;4;10;0;81;False
2022-06-26;0;0;10;0;87;False
2022-07-03;4;1;17;0;92;False
2022-07-10;1;3;13;0;95;False
2022-07-17;0;3;7;0;91;False
2022-07-24;0;2;17;0;90;False
2022-07-31;0;3;17;1;81;False
2022-08-07;0;2;17;0;78;False
2022-08-14;0;3;14;0;77;False
2022-08-21;0;2;17;0;67;False
2022-08-28;0;3;16;0;74;False
2022-09-04;1;0;17;0;80;False
2022-09-11;0;3;12;0;69;False
2022-09-18;2;0;15;0;66;False
2022-09-25;0;1;15;0;68;False
2022-10-02;3;4;25;0;65;False
2022-10-09;0;0;13;1;63;False
2022-10-16;0;1;15;1;57;False
2022-10-23;0;2;8;0;53;False
2022-10-30;1;3;9;0;53;False
2022-11-06;2;3;15;0;59;False
2022-11-13;0;5;10;2;50;False
2022-11-20;1;3;11;0;62;False
2022-11-27;4;0;12;0;61;False
2022-12-04;80;2;9;0;52;False
2022-12-11;22;4;10;1;53;False
2022-12-18;93;3;17;1;50;False
2022-12-25;7;3;9;1;66;False
2023-01-01;13;1;16;1;77;False
2023-01-08;8;4;8;0;71;False
2023-01-15;26;2;26;12;69;False
2023-01-22;9;1;16;5;64;False
2023-01-29;43;3;12;3;69;False
