date;Water bills;Tomatoes;Alberto Giacometti;Fourth plinth;air travel;isPartial
2022-01-02;1;66;0;0;11;False
2022-01-09;2;63;0;0;13;False
2022-01-16;2;53;0;0;9;False
2022-01-23;1;57;0;0;10;False
2022-01-30;3;56;0;0;12;False
2022-02-06;2;55;0;0;12;False
2022-02-13;2;60;0;0;12;False
2022-02-20;2;59;0;0;12;False
2022-02-27;2;66;0;0;10;False
2022-03-06;2;58;0;0;11;False
2022-03-13;2;62;0;0;11;False
2022-03-20;2;63;0;0;11;False
2022-03-27;2;77;0;0;11;False
2022-04-03;2;70;0;0;10;False
2022-04-10;1;84;0;1;9;False
2022-04-17;1;66;0;0;10;False
2022-04-24;2;74;0;0;10;False
2022-05-01;1;87;0;0;11;False
2022-05-08;2;75;0;0;11;False
2022-05-15;1;76;0;0;11;False
2022-05-22;2;73;0;0;11;False
2022-05-29;2;76;0;0;11;False
2022-06-05;1;87;0;0;12;False
2022-06-12;2;74;0;0;11;False
2022-06-19;2;77;0;0;10;False
2022-06-26;2;68;0;0;11;False
2022-07-03;2;79;0;0;11;False
2022-07-10;1;71;0;0;12;False
2022-07-17;1;75;0;0;11;False
2022-07-24;2;81;0;0;11;False
2022-07-31;2;87;0;0;10;False
2022-08-07;3;93;0;0;10;False
2022-08-14;2;88;0;0;9;False
2022-08-21;2;91;0;0;8;False
2022-08-28;3;100;0;0;9;False
2022-09-04;2;90;0;0;10;False
2022-09-11;2;81;0;0;8;False
2022-09-18;2;82;0;1;8;False
2022-09-25;2;71;1;4;8;False
2022-10-02;4;67;0;0;8;False
2022-10-09;2;71;0;1;8;False
2022-10-16;2;66;0;1;7;False
2022-10-23;2;62;0;0;6;False
2022-10-30;2;56;0;0;6;False
2022-11-06;1;55;0;0;7;False
2022-11-13;2;50;0;0;6;False
2022-11-20;1;42;0;0;8;False
2022-11-27;1;44;0;0;7;False
2022-12-04;1;44;0;0;6;False
2022-12-11;1;51;0;0;6;False
2022-12-18;1;50;0;0;6;False
2022-12-25;1;64;0;0;8;False
2023-01-01;2;68;0;0;9;False
2023-01-08;2;63;1;0;9;False
2023-01-15;2;71;0;0;8;False
2023-01-22;2;63;0;0;8;False
2023-01-29;3;59;1;0;8;False
