date;Margot Robbie;live;New Orleans Pelicans;Romania holidays;air travel;isPartial
2023-01-01;1;75;0;0;0;False
2023-01-02;1;68;0;0;0;False
2023-01-03;1;76;0;0;0;False
2023-01-04;1;67;0;0;0;False
2023-01-05;1;62;0;0;0;False
2023-01-06;1;64;0;0;0;False
2023-01-07;1;78;0;0;0;False
2023-01-08;1;71;0;0;0;False
2023-01-09;1;70;0;0;0;False
2023-01-10;1;67;0;0;0;False
2023-01-11;1;62;0;0;0;False
2023-01-12;2;65;0;0;0;False
2023-01-13;5;64;0;0;0;False
2023-01-14;3;92;0;0;0;False
2023-01-15;2;81;0;0;0;False
2023-01-16;2;63;0;0;0;False
2023-01-17;2;74;0;0;0;False
2023-01-18;1;74;0;0;0;False
2023-01-19;1;77;0;0;0;False
2023-01-20;2;60;0;0;0;False
2023-01-21;2;100;0;0;0;False
2023-01-22;2;80;0;0;0;False
2023-01-23;1;67;0;0;0;False
2023-01-24;2;62;0;0;0;False
2023-01-25;2;62;0;0;0;False
2023-01-26;1;59;0;0;0;False
2023-01-27;1;70;0;0;0;False
2023-01-28;1;76;0;0;0;False
2023-01-29;1;76;0;0;0;False
2023-01-30;1;58;0;0;0;False
2023-01-31;1;68;0;0;0;False
