date;Ofgem;prisons;Greenhouse gas emissions;Banking ;air travel;isPartial
2023-01-01;0;2;0;54;2;False
2023-01-02;1;3;0;71;3;False
2023-01-03;1;3;1;100;2;False
2023-01-04;1;2;0;83;3;False
2023-01-05;1;3;0;86;2;False
2023-01-06;1;2;0;85;2;False
2023-01-07;0;1;0;59;2;False
2023-01-08;1;3;0;59;2;False
2023-01-09;2;3;0;91;1;False
2023-01-10;1;2;0;83;2;False
2023-01-11;1;2;0;75;3;False
2023-01-12;2;4;0;80;2;False
2023-01-13;1;3;0;83;2;False
2023-01-14;1;2;0;62;2;False
2023-01-15;0;2;0;60;2;False
2023-01-16;1;3;0;85;2;False
2023-01-17;2;3;0;78;2;False
2023-01-18;2;2;0;80;2;False
2023-01-19;2;4;1;78;2;False
2023-01-20;2;3;0;88;2;False
2023-01-21;0;3;0;65;2;False
2023-01-22;0;2;0;56;2;False
2023-01-23;2;3;0;90;2;False
2023-01-24;2;2;0;85;2;False
2023-01-25;2;3;0;84;2;False
2023-01-26;2;5;0;80;2;False
2023-01-27;1;3;0;96;1;False
2023-01-28;1;2;0;64;2;False
2023-01-29;1;3;0;61;2;False
2023-01-30;2;3;0;96;3;False
2023-01-31;2;3;0;99;2;False
