date;Kilmarnock;Farm animals;Amtrak;Karren Brady;air travel;isPartial
2022-01-02;53;4;2;9;12;False
2022-01-09;49;5;3;6;13;False
2022-01-16;48;4;2;5;10;False
2022-01-23;46;5;3;6;11;False
2022-01-30;54;5;2;9;13;False
2022-02-06;55;6;2;7;13;False
2022-02-13;45;4;3;6;13;False
2022-02-20;47;5;3;5;13;False
2022-02-27;45;5;3;7;12;False
2022-03-06;49;4;4;5;12;False
2022-03-13;43;5;3;9;12;False
2022-03-20;48;5;3;15;12;False
2022-03-27;42;5;3;3;13;False
2022-04-03;46;5;3;2;11;False
2022-04-10;52;5;3;10;10;False
2022-04-17;82;5;3;3;11;False
2022-04-24;45;5;2;2;11;False
2022-05-01;47;5;3;1;12;False
2022-05-08;45;5;3;1;12;False
2022-05-15;46;4;3;1;13;False
2022-05-22;45;5;3;1;12;False
2022-05-29;47;4;3;1;12;False
2022-06-05;47;4;3;1;13;False
2022-06-12;48;4;2;1;12;False
2022-06-19;47;3;3;1;11;False
2022-06-26;47;4;4;0;12;False
2022-07-03;50;3;3;1;12;False
2022-07-10;52;4;3;1;13;False
2022-07-17;49;3;3;0;12;False
2022-07-24;55;4;3;1;12;False
2022-07-31;68;4;3;1;11;False
2022-08-07;53;4;2;0;11;False
2022-08-14;72;3;3;0;10;False
2022-08-21;51;4;2;0;9;False
2022-08-28;57;4;3;0;10;False
2022-09-04;45;4;3;1;11;False
2022-09-11;45;4;3;1;9;False
2022-09-18;47;4;2;1;9;False
2022-09-25;47;3;3;1;9;False
2022-10-02;51;4;3;1;9;False
2022-10-09;51;5;2;1;8;False
2022-10-16;55;4;2;0;8;False
2022-10-23;48;4;3;1;7;False
2022-10-30;47;4;3;2;7;False
2022-11-06;48;5;2;1;8;False
2022-11-13;42;5;2;0;7;False
2022-11-20;38;4;2;0;8;False
2022-11-27;38;4;2;1;8;False
2022-12-04;40;4;2;1;7;False
2022-12-11;46;3;2;0;7;False
2022-12-18;53;3;2;1;7;False
2022-12-25;54;3;3;1;9;False
2023-01-01;65;3;3;11;10;False
2023-01-08;94;3;3;6;10;False
2023-01-15;100;4;3;6;9;False
2023-01-22;47;4;3;6;9;False
2023-01-29;54;4;3;6;9;False
