date;Rafael Nadal;Romantic trips;Ivory Coast;Mia Wasikowska;air travel;isPartial
2023-01-01;3;0;8;0;18;False
2023-01-02;11;3;3;1;22;False
2023-01-03;7;0;7;0;14;False
2023-01-04;6;2;6;0;21;False
2023-01-05;11;1;5;3;18;False
2023-01-06;47;0;3;0;18;False
2023-01-07;64;0;6;5;13;False
2023-01-08;12;0;6;0;20;False
2023-01-09;4;0;13;0;12;False
2023-01-10;8;0;6;0;19;False
2023-01-11;5;1;6;1;22;False
2023-01-12;8;2;6;0;18;False
2023-01-13;11;0;0;0;14;False
2023-01-14;16;0;23;0;13;False
2023-01-15;17;0;8;0;16;False
2023-01-16;72;0;3;4;16;False
2023-01-17;20;0;3;0;13;False
2023-01-18;100;0;15;0;19;False
2023-01-19;23;0;8;0;17;False
2023-01-20;18;0;4;0;14;False
2023-01-21;8;0;36;2;15;False
2023-01-22;10;1;15;0;17;False
2023-01-23;12;0;11;0;17;False
2023-01-24;9;2;7;5;13;False
2023-01-25;8;0;7;0;18;False
2023-01-26;7;1;7;0;16;False
2023-01-27;12;0;18;0;11;False
2023-01-28;10;0;4;0;16;False
2023-01-29;20;0;5;1;14;False
2023-01-30;14;0;7;0;24;False
2023-01-31;7;0;4;0;20;False
