date;Sevilla;NBC Universal;Nelson Mandela;Hepatitis C;air travel;isPartial
2022-01-02;15;0;5;2;12;False
2022-01-09;22;0;6;2;13;False
2022-01-16;22;0;7;2;10;False
2022-01-23;18;0;5;3;11;False
2022-01-30;16;0;6;3;12;False
2022-02-06;23;0;7;2;12;False
2022-02-13;20;0;4;2;12;False
2022-02-20;29;0;5;3;13;False
2022-02-27;26;0;6;2;11;False
2022-03-06;42;0;5;3;12;False
2022-03-13;53;0;5;2;12;False
2022-03-20;17;0;5;3;11;False
2022-03-27;11;0;4;2;12;False
2022-04-03;31;0;4;3;11;False
2022-04-10;14;0;4;3;9;False
2022-04-17;32;0;5;4;11;False
2022-04-24;17;0;6;3;11;False
2022-05-01;27;0;8;3;11;False
2022-05-08;31;0;6;3;12;False
2022-05-15;48;0;6;2;12;False
2022-05-22;14;0;5;3;11;False
2022-05-29;11;0;4;3;12;False
2022-06-05;9;0;6;2;13;False
2022-06-12;10;0;5;2;11;False
2022-06-19;9;0;5;2;10;False
2022-06-26;9;0;6;3;11;False
2022-07-03;10;0;6;2;12;False
2022-07-10;41;0;6;2;12;False
2022-07-17;13;0;11;2;12;False
2022-07-24;100;0;4;3;12;False
2022-07-31;25;0;5;2;10;False
2022-08-07;15;0;4;2;10;False
2022-08-14;13;0;13;3;10;False
2022-08-21;13;0;3;3;9;False
2022-08-28;35;1;8;2;9;False
2022-09-04;70;0;11;2;10;False
2022-09-11;13;0;8;3;9;False
2022-09-18;12;0;7;2;8;False
2022-09-25;11;0;6;3;9;False
2022-10-02;21;0;7;2;8;False
2022-10-09;17;0;9;2;8;False
2022-10-16;26;0;7;2;7;False
2022-10-23;20;1;6;2;7;False
2022-10-30;46;0;6;3;7;False
2022-11-06;17;0;6;2;8;False
2022-11-13;8;0;8;2;6;False
2022-11-20;7;0;6;2;8;False
2022-11-27;7;0;5;2;8;False
2022-12-04;8;0;6;2;7;False
2022-12-11;10;0;4;2;7;False
2022-12-18;10;0;5;1;6;False
2022-12-25;10;0;4;3;8;False
2023-01-01;11;0;5;2;10;False
2023-01-08;13;0;6;2;9;False
2023-01-15;15;0;6;2;9;False
2023-01-22;17;0;5;3;8;False
2023-01-29;11;0;5;5;9;False
