date;Animal welfare;spain;Rail transport;Safaris;air travel;isPartial
2022-01-02;1;49;0;0;2;False
2022-01-09;1;50;0;0;2;False
2022-01-16;1;52;0;0;1;False
2022-01-23;1;52;0;0;1;False
2022-01-30;1;55;0;0;2;False
2022-02-06;1;56;0;0;2;False
2022-02-13;1;49;0;0;2;False
2022-02-20;1;49;0;0;2;False
2022-02-27;1;52;0;0;1;False
2022-03-06;1;55;0;0;2;False
2022-03-13;1;57;0;0;2;False
2022-03-20;1;62;0;0;2;False
2022-03-27;1;65;0;0;2;False
2022-04-03;1;71;0;0;1;False
2022-04-10;0;64;0;0;1;False
2022-04-17;1;59;0;0;1;False
2022-04-24;1;60;0;0;1;False
2022-05-01;1;72;0;0;2;False
2022-05-08;1;68;0;0;2;False
2022-05-15;1;77;0;0;2;False
2022-05-22;1;67;0;0;2;False
2022-05-29;0;59;0;0;2;False
2022-06-05;1;62;0;0;2;False
2022-06-12;1;59;0;0;2;False
2022-06-19;1;56;0;0;1;False
2022-06-26;0;54;0;0;2;False
2022-07-03;1;56;0;0;2;False
2022-07-10;1;64;0;0;2;False
2022-07-17;1;78;0;0;2;False
2022-07-24;1;61;0;0;2;False
2022-07-31;0;53;0;0;1;False
2022-08-07;1;57;0;0;1;False
2022-08-14;1;44;0;0;1;False
2022-08-21;1;48;0;0;1;False
2022-08-28;0;48;0;0;1;False
2022-09-04;0;44;0;0;1;False
2022-09-11;1;44;0;0;1;False
2022-09-18;1;48;0;0;1;False
2022-09-25;1;45;0;0;1;False
2022-10-02;1;37;0;0;1;False
2022-10-09;1;39;0;0;1;False
2022-10-16;1;35;0;0;1;False
2022-10-23;1;31;0;0;1;False
2022-10-30;1;30;0;0;1;False
2022-11-06;1;31;0;0;1;False
2022-11-13;1;30;0;0;1;False
2022-11-20;1;58;0;0;1;False
2022-11-27;1;100;0;0;1;False
2022-12-04;1;80;0;0;1;False
2022-12-11;1;26;0;0;1;False
2022-12-18;0;25;0;0;1;False
2022-12-25;0;30;0;0;1;False
2023-01-01;1;40;0;0;1;False
2023-01-08;1;39;0;0;1;False
2023-01-15;1;37;0;0;1;False
2023-01-22;1;38;0;0;1;False
2023-01-29;1;37;0;0;1;False
