date;Stage;Teacher Network;facebook;Roman Abramovich;air travel;isPartial
2022-01-02;4;0;93;0;0;False
2022-01-09;5;0;87;0;0;False
2022-01-16;4;0;84;0;0;False
2022-01-23;5;0;93;0;0;False
2022-01-30;5;0;92;0;0;False
2022-02-06;5;0;93;0;0;False
2022-02-13;4;0;86;0;0;False
2022-02-20;4;0;90;3;0;False
2022-02-27;4;0;89;4;0;False
2022-03-06;4;0;97;2;0;False
2022-03-13;4;0;91;1;0;False
2022-03-20;5;0;94;0;0;False
2022-03-27;5;0;93;1;0;False
2022-04-03;4;0;89;0;0;False
2022-04-10;4;0;95;0;0;False
2022-04-17;5;0;88;0;0;False
2022-04-24;5;0;87;0;0;False
2022-05-01;5;0;100;0;0;False
2022-05-08;6;0;93;0;0;False
2022-05-15;5;0;95;0;0;False
2022-05-22;5;0;91;0;0;False
2022-05-29;5;0;92;0;0;False
2022-06-05;6;0;91;0;0;False
2022-06-12;5;0;94;0;0;False
2022-06-19;7;0;94;0;0;False
2022-06-26;7;0;89;0;0;False
2022-07-03;6;0;93;0;0;False
2022-07-10;5;0;87;0;0;False
2022-07-17;5;0;90;0;0;False
2022-07-24;5;0;93;0;0;False
2022-07-31;4;0;93;0;0;False
2022-08-07;4;0;95;0;0;False
2022-08-14;4;0;86;0;0;False
2022-08-21;5;0;92;0;0;False
2022-08-28;5;0;93;0;0;False
2022-09-04;5;0;96;0;0;False
2022-09-11;5;0;98;0;0;False
2022-09-18;4;0;89;0;0;False
2022-09-25;4;0;91;0;0;False
2022-10-02;5;0;91;0;0;False
2022-10-09;5;0;86;0;0;False
2022-10-16;4;0;81;0;0;False
2022-10-23;5;0;86;0;0;False
2022-10-30;5;0;83;0;0;False
2022-11-06;5;0;89;0;0;False
2022-11-13;5;0;83;0;0;False
2022-11-20;5;0;81;0;0;False
2022-11-27;7;0;89;0;0;False
2022-12-04;5;0;81;0;0;False
2022-12-11;5;0;87;0;0;False
2022-12-18;4;0;89;0;0;False
2022-12-25;4;0;87;0;0;False
2023-01-01;4;0;89;0;0;False
2023-01-08;5;0;83;0;0;False
2023-01-15;5;0;80;0;0;False
2023-01-22;5;0;78;0;0;False
2023-01-29;5;0;86;0;0;False
