date;Police and crime commissioners;coronavirus;Fight Club;Space;air travel;isPartial
2023-01-01;0;5;3;55;2;False
2023-01-02;0;6;3;54;2;False
2023-01-03;0;8;2;58;1;False
2023-01-04;0;7;2;57;2;False
2023-01-05;0;7;2;55;2;False
2023-01-06;0;7;2;58;2;False
2023-01-07;0;5;2;54;1;False
2023-01-08;0;5;2;57;2;False
2023-01-09;0;5;1;100;1;False
2023-01-10;0;6;2;73;2;False
2023-01-11;0;9;2;58;2;False
2023-01-12;0;5;2;60;2;False
2023-01-13;0;4;3;57;1;False
2023-01-14;0;5;2;54;1;False
2023-01-15;0;4;2;53;2;False
2023-01-16;0;4;2;58;2;False
2023-01-17;0;5;2;58;1;False
2023-01-18;0;4;2;57;2;False
2023-01-19;0;4;2;57;2;False
2023-01-20;0;5;2;58;1;False
2023-01-21;0;4;2;58;1;False
2023-01-22;0;4;2;57;2;False
2023-01-23;0;4;2;62;2;False
2023-01-24;0;3;2;63;1;False
2023-01-25;0;5;2;62;2;False
2023-01-26;0;4;2;65;2;False
2023-01-27;0;4;3;74;1;False
2023-01-28;0;4;2;69;2;False
2023-01-29;0;4;1;71;1;False
2023-01-30;0;5;1;71;2;False
2023-01-31;0;4;1;72;2;False
