date;PSV Eindhoven;utah;Sugar;Gareth Bale;air travel;isPartial
2022-01-02;0;5;92;4;4;False
2022-01-09;0;4;94;3;4;False
2022-01-16;0;3;79;2;3;False
2022-01-23;0;3;91;2;4;False
2022-01-30;0;4;99;3;4;False
2022-02-06;0;4;90;4;4;False
2022-02-13;0;4;92;4;4;False
2022-02-20;0;4;86;2;4;False
2022-02-27;0;3;93;2;4;False
2022-03-06;0;3;86;2;4;False
2022-03-13;1;4;93;2;4;False
2022-03-20;0;4;97;21;4;False
2022-03-27;1;4;79;5;4;False
2022-04-03;1;4;81;3;4;False
2022-04-10;1;4;83;3;3;False
2022-04-17;0;6;81;3;4;False
2022-04-24;0;4;80;2;4;False
2022-05-01;0;4;87;5;4;False
2022-05-08;0;3;83;2;4;False
2022-05-15;0;4;81;4;4;False
2022-05-22;0;4;76;9;4;False
2022-05-29;0;4;91;14;4;False
2022-06-05;0;4;82;16;4;False
2022-06-12;0;5;81;4;4;False
2022-06-19;0;4;84;10;4;False
2022-06-26;0;4;83;6;4;False
2022-07-03;0;4;86;4;4;False
2022-07-10;0;4;84;5;4;False
2022-07-17;0;4;76;3;4;False
2022-07-24;0;4;85;3;4;False
2022-07-31;1;5;81;2;3;False
2022-08-07;2;4;80;3;3;False
2022-08-14;3;5;77;2;3;False
2022-08-21;3;4;80;2;3;False
2022-08-28;1;5;78;2;3;False
2022-09-04;1;4;76;1;3;False
2022-09-11;1;4;81;2;3;False
2022-09-18;0;4;77;2;3;False
2022-09-25;0;3;78;2;3;False
2022-10-02;0;3;78;1;3;False
2022-10-09;0;4;79;1;3;False
2022-10-16;2;4;78;2;2;False
2022-10-23;2;4;82;1;2;False
2022-10-30;0;4;74;2;2;False
2022-11-06;0;4;79;5;3;False
2022-11-13;0;4;77;5;2;False
2022-11-20;0;3;72;33;3;False
2022-11-27;0;4;78;19;3;False
2022-12-04;0;3;69;2;2;False
2022-12-11;0;4;76;1;2;False
2022-12-18;0;4;90;1;2;False
2022-12-25;1;4;78;1;3;False
2023-01-01;0;5;100;1;3;False
2023-01-08;0;4;99;33;3;False
2023-01-15;0;4;91;2;3;False
2023-01-22;0;4;90;7;3;False
2023-01-29;0;4;95;7;3;False
