date;World Rugby;Musicals;newspapers;Teachers' workload;air travel;isPartial
2022-01-02;3;6;10;0;4;False
2022-01-09;3;7;10;0;4;False
2022-01-16;4;6;9;0;3;False
2022-01-23;4;11;10;0;4;False
2022-01-30;8;9;10;0;4;False
2022-02-06;9;6;10;0;4;False
2022-02-13;7;6;8;0;4;False
2022-02-20;8;6;10;0;4;False
2022-02-27;5;5;10;0;4;False
2022-03-06;8;5;9;0;4;False
2022-03-13;13;5;9;0;4;False
2022-03-20;9;5;10;0;4;False
2022-03-27;5;5;9;0;4;False
2022-04-03;4;9;8;0;4;False
2022-04-10;4;8;9;0;3;False
2022-04-17;3;5;8;0;3;False
2022-04-24;5;5;8;0;4;False
2022-05-01;3;5;9;0;4;False
2022-05-08;5;5;9;0;4;False
2022-05-15;4;5;9;0;4;False
2022-05-22;5;4;10;0;4;False
2022-05-29;4;6;10;0;4;False
2022-06-05;4;6;10;0;4;False
2022-06-12;4;5;9;0;4;False
2022-06-19;5;5;8;0;3;False
2022-06-26;7;5;9;0;4;False
2022-07-03;6;5;9;0;4;False
2022-07-10;12;4;9;0;4;False
2022-07-17;10;4;9;0;4;False
2022-07-24;5;5;9;0;4;False
2022-07-31;6;5;9;0;3;False
2022-08-07;6;5;9;0;3;False
2022-08-14;4;5;8;0;3;False
2022-08-21;5;5;8;0;3;False
2022-08-28;7;5;9;0;3;False
2022-09-04;8;4;12;0;3;False
2022-09-11;17;5;11;0;3;False
2022-09-18;11;6;14;0;3;False
2022-09-25;13;5;9;0;3;False
2022-10-02;30;5;10;0;3;False
2022-10-09;59;5;9;0;3;False
2022-10-16;56;5;9;0;2;False
2022-10-23;49;5;9;0;2;False
2022-10-30;62;5;9;0;2;False
2022-11-06;100;6;9;0;3;False
2022-11-13;48;5;9;0;2;False
2022-11-20;23;5;8;0;3;False
2022-11-27;12;7;9;0;3;False
2022-12-04;11;5;9;0;2;False
2022-12-11;7;5;9;0;2;False
2022-12-18;7;5;9;0;2;False
2022-12-25;5;7;11;0;3;False
2023-01-01;6;6;11;0;3;False
2023-01-08;6;5;9;0;3;False
2023-01-15;7;5;9;0;3;False
2023-01-22;9;6;9;0;3;False
2023-01-29;14;6;9;0;3;False
