date;Bill Shorten;SDLP;The far right;Lizzo;air travel;isPartial
2022-01-02;0;0;1;6;12;False
2022-01-09;0;1;1;4;13;False
2022-01-16;0;1;1;4;10;False
2022-01-23;0;1;0;4;11;False
2022-01-30;0;1;1;5;13;False
2022-02-06;0;1;1;7;13;False
2022-02-13;0;0;1;4;13;False
2022-02-20;0;1;1;6;13;False
2022-02-27;0;1;1;4;12;False
2022-03-06;0;1;1;4;12;False
2022-03-13;0;1;1;9;12;False
2022-03-20;0;1;1;5;12;False
2022-03-27;0;1;1;8;13;False
2022-04-03;0;1;1;6;12;False
2022-04-10;0;3;2;11;10;False
2022-04-17;0;4;1;14;11;False
2022-04-24;0;4;2;14;11;False
2022-05-01;0;11;1;25;12;False
2022-05-08;0;5;1;26;12;False
2022-05-15;0;1;1;19;13;False
2022-05-22;0;1;1;18;12;False
2022-05-29;0;1;0;19;12;False
2022-06-05;0;1;0;22;14;False
2022-06-12;0;0;1;100;12;False
2022-06-19;0;0;1;17;11;False
2022-06-26;0;0;1;21;12;False
2022-07-03;0;0;1;17;13;False
2022-07-10;0;1;1;18;13;False
2022-07-17;0;1;1;17;12;False
2022-07-24;0;1;1;14;12;False
2022-07-31;0;1;1;22;11;False
2022-08-07;0;1;1;16;11;False
2022-08-14;0;0;1;13;10;False
2022-08-21;0;0;0;12;9;False
2022-08-28;0;0;0;18;10;False
2022-09-04;0;0;0;14;11;False
2022-09-11;0;1;1;13;9;False
2022-09-18;0;1;1;10;9;False
2022-09-25;0;1;3;20;9;False
2022-10-02;0;0;1;48;9;False
2022-10-09;0;1;1;20;9;False
2022-10-16;0;0;2;13;8;False
2022-10-23;0;1;2;12;7;False
2022-10-30;0;0;1;11;7;False
2022-11-06;0;0;1;10;8;False
2022-11-13;0;0;1;9;7;False
2022-11-20;0;0;1;9;8;False
2022-11-27;0;0;1;10;8;False
2022-12-04;0;1;1;11;7;False
2022-12-11;0;0;0;10;7;False
2022-12-18;0;0;1;14;7;False
2022-12-25;0;0;1;15;9;False
2023-01-01;0;1;1;10;10;False
2023-01-08;0;1;1;10;10;False
2023-01-15;0;1;1;8;9;False
2023-01-22;0;1;1;10;9;False
2023-01-29;0;1;1;10;9;False
