date;South Australia;Pakistan women's cricket team;Snapchat;Trevor Noah;air travel;isPartial
2023-01-01;3;0;84;1;5;False
2023-01-02;5;0;96;2;6;False
2023-01-03;6;0;84;1;4;False
2023-01-04;12;0;85;2;6;False
2023-01-05;13;0;69;1;5;False
2023-01-06;15;0;74;1;5;False
2023-01-07;15;0;82;2;4;False
2023-01-08;17;0;92;2;6;False
2023-01-09;4;0;72;1;3;False
2023-01-10;2;0;69;1;5;False
2023-01-11;4;0;64;1;6;False
2023-01-12;6;0;75;1;5;False
2023-01-13;3;0;67;1;4;False
2023-01-14;3;0;73;3;4;False
2023-01-15;4;0;96;2;4;False
2023-01-16;3;0;78;1;5;False
2023-01-17;3;0;71;1;4;False
2023-01-18;3;0;74;1;5;False
2023-01-19;3;0;66;3;5;False
2023-01-20;2;0;76;1;4;False
2023-01-21;3;0;92;1;4;False
2023-01-22;3;0;87;1;5;False
2023-01-23;4;0;73;2;5;False
2023-01-24;4;0;83;1;4;False
2023-01-25;4;0;79;1;5;False
2023-01-26;3;0;72;1;4;False
2023-01-27;3;0;73;1;3;False
2023-01-28;3;0;78;0;4;False
2023-01-29;3;0;100;1;4;False
2023-01-30;3;0;76;1;7;False
2023-01-31;2;0;84;0;6;False
