date;westminster accounts;January 6 hearings;Kazakhstan;Whoopi Goldberg;air travel;isPartial
2022-01-02;0;0;100;5;16;False
2022-01-09;0;0;43;3;18;False
2022-01-16;0;0;14;3;14;False
2022-01-23;0;0;11;3;15;False
2022-01-30;0;0;10;71;17;False
2022-02-06;0;0;9;14;17;False
2022-02-13;0;0;10;5;17;False
2022-02-20;0;0;21;4;18;False
2022-02-27;0;0;21;4;15;False
2022-03-06;0;0;15;4;16;False
2022-03-13;0;0;15;3;16;False
2022-03-20;0;0;13;7;16;False
2022-03-27;0;0;15;7;17;False
2022-04-03;0;0;13;4;15;False
2022-04-10;0;0;12;6;13;False
2022-04-17;0;0;12;4;15;False
2022-04-24;0;0;10;3;15;False
2022-05-01;0;0;9;3;16;False
2022-05-08;0;0;13;3;16;False
2022-05-15;0;0;10;2;17;False
2022-05-22;0;0;9;3;16;False
2022-05-29;0;0;11;3;16;False
2022-06-05;0;2;13;5;18;False
2022-06-12;0;1;12;7;16;False
2022-06-19;0;1;12;4;15;False
2022-06-26;0;1;9;5;16;False
2022-07-03;0;1;30;4;16;False
2022-07-10;0;2;13;4;17;False
2022-07-17;0;2;12;4;16;False
2022-07-24;0;1;12;4;16;False
2022-07-31;0;0;11;4;14;False
2022-08-07;0;0;9;3;14;False
2022-08-14;0;0;7;7;14;False
2022-08-21;0;0;8;3;12;False
2022-08-28;0;0;8;4;13;False
2022-09-04;0;0;9;7;14;False
2022-09-11;0;0;13;7;12;False
2022-09-18;1;0;14;4;12;False
2022-09-25;0;0;16;5;12;False
2022-10-02;0;0;12;11;12;False
2022-10-09;0;1;12;7;11;False
2022-10-16;0;0;11;4;10;False
2022-10-23;0;0;9;4;10;False
2022-10-30;0;0;9;4;9;False
2022-11-06;0;0;9;4;11;False
2022-11-13;0;0;10;3;9;False
2022-11-20;0;0;11;3;11;False
2022-11-27;0;0;10;4;11;False
2022-12-04;0;0;8;7;9;False
2022-12-11;0;0;10;3;10;False
2022-12-18;0;0;11;5;9;False
2022-12-25;0;0;11;24;12;False
2023-01-01;0;0;10;11;14;False
2023-01-08;15;0;9;5;13;False
2023-01-15;0;0;11;3;12;False
2023-01-22;0;0;11;4;11;False
2023-01-29;0;0;11;4;12;False
