date;The Neptunes;Annuities;Édith Piaf;Vladimir Putin;air travel;isPartial
2022-01-02;0;0;0;1;5;False
2022-01-09;0;0;0;1;6;False
2022-01-16;0;0;0;2;5;False
2022-01-23;0;0;0;5;5;False
2022-01-30;0;0;0;4;6;False
2022-02-06;0;0;0;4;6;False
2022-02-13;0;0;0;7;6;False
2022-02-20;0;0;0;98;6;False
2022-02-27;0;0;0;100;5;False
2022-03-06;0;0;0;64;5;False
2022-03-13;0;0;0;19;5;False
2022-03-20;0;0;0;21;5;False
2022-03-27;0;0;0;12;5;False
2022-04-03;0;0;0;9;5;False
2022-04-10;0;0;0;10;4;False
2022-04-17;0;0;0;6;5;False
2022-04-24;0;0;0;10;5;False
2022-05-01;0;0;0;12;5;False
2022-05-08;0;0;0;9;5;False
2022-05-15;0;0;0;7;5;False
2022-05-22;0;0;0;5;5;False
2022-05-29;0;0;0;10;5;False
2022-06-05;0;0;0;5;6;False
2022-06-12;0;0;0;3;5;False
2022-06-19;0;0;0;3;5;False
2022-06-26;0;0;0;6;5;False
2022-07-03;0;0;0;3;5;False
2022-07-10;0;0;0;3;6;False
2022-07-17;0;0;0;3;5;False
2022-07-24;0;0;0;3;5;False
2022-07-31;0;0;0;3;5;False
2022-08-07;0;0;0;1;5;False
2022-08-14;0;0;0;1;5;False
2022-08-21;0;0;0;3;4;False
2022-08-28;0;0;0;3;4;False
2022-09-04;0;0;0;11;5;False
2022-09-11;0;0;0;6;4;False
2022-09-18;0;0;0;10;4;False
2022-09-25;0;1;0;6;4;False
2022-10-02;0;0;0;7;4;False
2022-10-09;0;0;0;6;4;False
2022-10-16;0;1;0;4;3;False
2022-10-23;0;0;0;3;3;False
2022-10-30;0;0;0;4;3;False
2022-11-06;0;0;0;3;4;False
2022-11-13;0;0;0;3;3;False
2022-11-20;0;1;0;4;4;False
2022-11-27;0;0;0;4;4;False
2022-12-04;0;0;0;4;3;False
2022-12-11;0;0;0;2;3;False
2022-12-18;0;0;0;5;3;False
2022-12-25;0;0;0;4;4;False
2023-01-01;0;0;0;3;5;False
2023-01-08;0;0;0;2;4;False
2023-01-15;0;0;0;6;4;False
2023-01-22;0;1;0;4;4;False
2023-01-29;0;0;0;4;4;False
