date;Glaciers;Energy efficiency;euston shooting;Slovakia;air travel;isPartial
2022-01-02;7;17;0;40;53;False
2022-01-09;9;19;0;39;58;False
2022-01-16;12;21;0;45;45;False
2022-01-23;8;18;0;44;49;False
2022-01-30;10;24;0;50;56;False
2022-02-06;10;24;0;52;56;False
2022-02-13;6;22;0;72;56;False
2022-02-20;8;18;0;100;58;False
2022-02-27;8;22;0;89;50;False
2022-03-06;10;23;0;70;53;False
2022-03-13;7;24;0;56;53;False
2022-03-20;9;27;0;66;51;False
2022-03-27;10;22;0;54;55;False
2022-04-03;7;24;0;53;50;False
2022-04-10;5;18;0;53;43;False
2022-04-17;6;20;0;42;48;False
2022-04-24;10;19;0;45;49;False
2022-05-01;7;20;0;54;51;False
2022-05-08;6;23;0;53;52;False
2022-05-15;11;17;0;47;54;False
2022-05-22;10;20;0;52;52;False
2022-05-29;5;14;1;47;53;False
2022-06-05;8;23;0;65;59;False
2022-06-12;6;20;0;50;51;False
2022-06-19;7;20;0;42;48;False
2022-06-26;7;17;0;46;51;False
2022-07-03;10;14;0;50;54;False
2022-07-10;6;18;0;48;56;False
2022-07-17;5;14;0;46;53;False
2022-07-24;2;15;0;39;53;False
2022-07-31;4;16;0;50;47;False
2022-08-07;4;21;0;44;46;False
2022-08-14;4;16;0;44;45;False
2022-08-21;5;24;0;45;39;False
2022-08-28;12;29;0;46;43;False
2022-09-04;9;23;0;42;47;False
2022-09-11;7;24;0;45;41;False
2022-09-18;7;21;0;52;39;False
2022-09-25;8;28;0;48;40;False
2022-10-02;7;25;0;39;38;False
2022-10-09;5;24;0;45;37;False
2022-10-16;6;24;0;39;34;False
2022-10-23;7;23;0;36;31;False
2022-10-30;9;28;0;35;31;False
2022-11-06;12;26;0;37;35;False
2022-11-13;6;28;0;41;29;False
2022-11-20;7;28;0;45;37;False
2022-11-27;10;37;0;41;36;False
2022-12-04;10;27;1;42;30;False
2022-12-11;5;26;0;38;31;False
2022-12-18;9;18;0;41;29;False
2022-12-25;4;14;0;42;38;False
2023-01-01;7;22;0;54;45;False
2023-01-08;7;22;25;37;42;False
2023-01-15;8;24;67;44;40;False
2023-01-22;8;26;3;44;37;False
2023-01-29;10;78;2;39;40;False
