date;Infrastructure;Marcelo Bielsa;Africa holidays;The Archers;air travel;isPartial
2022-01-02;43;2;10;35;34;False
2022-01-09;56;4;6;29;39;False
2022-01-16;53;6;4;26;29;False
2022-01-23;57;2;8;32;32;False
2022-01-30;56;2;8;31;37;False
2022-02-06;50;3;6;27;36;False
2022-02-13;50;2;6;21;37;False
2022-02-20;53;35;6;25;37;False
2022-02-27;53;61;6;27;32;False
2022-03-06;53;4;6;28;34;False
2022-03-13;54;4;6;25;34;False
2022-03-20;57;5;7;25;33;False
2022-03-27;53;3;8;31;35;False
2022-04-03;50;3;6;27;33;False
2022-04-10;41;4;8;26;28;False
2022-04-17;43;3;7;27;31;False
2022-04-24;51;3;8;28;32;False
2022-05-01;44;2;10;30;33;False
2022-05-08;57;4;5;27;34;False
2022-05-15;54;2;6;31;35;False
2022-05-22;54;3;8;28;33;False
2022-05-29;36;2;6;28;34;False
2022-06-05;49;1;6;32;38;False
2022-06-12;54;2;8;27;34;False
2022-06-19;49;6;7;26;31;False
2022-06-26;49;2;6;34;33;False
2022-07-03;46;2;6;31;35;False
2022-07-10;53;1;7;32;36;False
2022-07-17;45;2;5;29;34;False
2022-07-24;47;2;6;34;34;False
2022-07-31;42;2;7;31;30;False
2022-08-07;42;2;8;54;30;False
2022-08-14;43;2;8;28;29;False
2022-08-21;46;2;7;31;25;False
2022-08-28;38;3;6;36;28;False
2022-09-04;43;2;6;42;30;False
2022-09-11;49;1;7;77;26;False
2022-09-18;53;1;6;60;26;False
2022-09-25;51;3;7;41;26;False
2022-10-02;49;2;6;37;25;False
2022-10-09;55;1;6;32;24;False
2022-10-16;55;4;7;31;22;False
2022-10-23;50;6;6;30;20;False
2022-10-30;53;1;8;38;20;False
2022-11-06;56;6;7;33;22;False
2022-11-13;58;10;6;35;19;False
2022-11-20;52;3;6;34;24;False
2022-11-27;50;1;5;32;23;False
2022-12-04;47;1;4;36;20;False
2022-12-11;47;2;6;30;20;False
2022-12-18;34;2;6;36;19;False
2022-12-25;22;1;10;32;25;False
2023-01-01;40;3;11;35;29;False
2023-01-08;52;2;10;38;27;False
2023-01-15;54;3;9;37;26;False
2023-01-22;62;26;10;100;24;False
2023-01-29;60;2;9;45;26;False
