date;US small business;US economy;fa cup;Fruit;air travel;isPartial
2022-01-02;0;0;55;24;1;False
2022-01-09;0;0;90;25;2;False
2022-01-16;0;0;7;23;1;False
2022-01-23;0;0;7;24;1;False
2022-01-30;0;0;57;24;1;False
2022-02-06;0;0;57;21;1;False
2022-02-13;0;0;5;22;1;False
2022-02-20;0;0;6;23;2;False
2022-02-27;0;0;78;23;1;False
2022-03-06;0;0;13;25;1;False
2022-03-13;0;0;21;24;1;False
2022-03-20;0;0;41;25;1;False
2022-03-27;0;0;5;24;1;False
2022-04-03;0;0;7;25;1;False
2022-04-10;0;0;48;24;1;False
2022-04-17;0;0;36;24;1;False
2022-04-24;0;0;10;24;1;False
2022-05-01;0;0;16;25;1;False
2022-05-08;0;0;100;25;1;False
2022-05-15;0;0;20;25;1;False
2022-05-22;0;0;5;26;1;False
2022-05-29;0;0;4;26;1;False
2022-06-05;0;0;2;27;2;False
2022-06-12;0;0;2;32;1;False
2022-06-19;0;0;2;27;1;False
2022-06-26;0;0;2;28;1;False
2022-07-03;0;0;2;27;1;False
2022-07-10;0;0;2;30;1;False
2022-07-17;0;0;2;29;1;False
2022-07-24;0;0;2;30;1;False
2022-07-31;0;0;3;29;1;False
2022-08-07;0;0;3;32;1;False
2022-08-14;0;0;2;28;1;False
2022-08-21;0;0;4;29;1;False
2022-08-28;0;0;3;29;1;False
2022-09-04;0;0;4;27;1;False
2022-09-11;0;0;3;29;1;False
2022-09-18;0;0;4;28;1;False
2022-09-25;0;0;3;27;1;False
2022-10-02;0;0;5;25;1;False
2022-10-09;0;0;6;26;1;False
2022-10-16;0;0;12;23;1;False
2022-10-23;0;0;3;26;1;False
2022-10-30;0;0;8;23;1;False
2022-11-06;0;0;16;26;1;False
2022-11-13;0;0;5;23;1;False
2022-11-20;0;0;6;21;1;False
2022-11-27;0;0;25;24;1;False
2022-12-04;0;0;4;22;1;False
2022-12-11;0;0;3;22;1;False
2022-12-18;0;0;5;25;1;False
2022-12-25;0;0;5;25;1;False
2023-01-01;0;0;66;21;1;False
2023-01-08;0;0;76;23;1;False
2023-01-15;0;0;28;24;1;False
2023-01-22;0;0;61;25;1;False
2023-01-29;0;0;77;27;1;False
