date;US television industry;New York Times;Fantasy books;Australian federal police;air travel;isPartial
2022-01-02;0;16;4;0;11;False
2022-01-09;0;15;3;0;13;False
2022-01-16;0;15;2;0;10;False
2022-01-23;0;14;3;0;11;False
2022-01-30;0;24;3;0;12;False
2022-02-06;0;17;2;0;12;False
2022-02-13;0;35;3;0;12;False
2022-02-20;0;57;3;0;13;False
2022-02-27;0;80;3;0;11;False
2022-03-06;0;80;2;0;12;False
2022-03-13;0;87;3;0;11;False
2022-03-20;0;88;2;0;11;False
2022-03-27;0;87;3;0;12;False
2022-04-03;0;87;3;0;11;False
2022-04-10;0;95;3;0;9;False
2022-04-17;0;94;2;0;10;False
2022-04-24;0;94;3;0;11;False
2022-05-01;0;100;3;0;11;False
2022-05-08;0;91;3;0;11;False
2022-05-15;0;86;2;0;12;False
2022-05-22;0;89;3;0;11;False
2022-05-29;0;92;3;0;11;False
2022-06-05;0;98;2;0;13;False
2022-06-12;0;92;2;0;11;False
2022-06-19;0;88;2;0;10;False
2022-06-26;0;87;3;0;11;False
2022-07-03;0;93;2;1;12;False
2022-07-10;0;83;3;0;12;False
2022-07-17;0;83;3;0;12;False
2022-07-24;0;82;3;0;11;False
2022-07-31;0;75;2;0;10;False
2022-08-07;0;75;3;0;10;False
2022-08-14;0;74;3;0;10;False
2022-08-21;0;72;2;0;9;False
2022-08-28;0;83;3;0;9;False
2022-09-04;0;97;3;0;10;False
2022-09-11;0;95;3;0;9;False
2022-09-18;0;78;2;0;8;False
2022-09-25;0;73;2;0;9;False
2022-10-02;0;75;2;0;8;False
2022-10-09;0;75;2;0;8;False
2022-10-16;0;71;2;0;7;False
2022-10-23;0;72;2;0;7;False
2022-10-30;0;70;2;0;7;False
2022-11-06;0;83;2;0;8;False
2022-11-13;0;74;3;0;6;False
2022-11-20;0;62;2;0;8;False
2022-11-27;0;65;3;0;8;False
2022-12-04;0;65;3;0;7;False
2022-12-11;0;63;3;0;7;False
2022-12-18;0;76;3;0;6;False
2022-12-25;0;76;3;1;8;False
2023-01-01;0;72;3;0;10;False
2023-01-08;0;72;3;0;9;False
2023-01-15;0;67;3;0;9;False
2023-01-22;0;68;3;0;8;False
2023-01-29;0;67;2;0;9;False
