date;New year;Maps;drew barrymore;Māori;air travel;isPartial
2022-01-02;27;64;0;0;1;False
2022-01-09;13;77;1;0;1;False
2022-01-16;12;74;0;0;1;False
2022-01-23;26;76;1;0;1;False
2022-01-30;91;82;1;0;1;False
2022-02-06;7;84;0;0;1;False
2022-02-13;4;70;0;0;1;False
2022-02-20;3;80;1;0;1;False
2022-02-27;3;78;0;0;1;False
2022-03-06;3;77;0;0;1;False
2022-03-13;3;79;0;0;1;False
2022-03-20;3;82;0;0;1;False
2022-03-27;3;74;1;0;1;False
2022-04-03;3;80;1;0;1;False
2022-04-10;4;76;1;0;1;False
2022-04-17;2;86;1;0;1;False
2022-04-24;2;81;0;0;1;False
2022-05-01;2;77;1;0;1;False
2022-05-08;2;86;0;0;1;False
2022-05-15;2;89;0;0;1;False
2022-05-22;2;84;0;0;1;False
2022-05-29;2;77;1;0;1;False
2022-06-05;2;85;1;0;1;False
2022-06-12;2;89;1;0;1;False
2022-06-19;2;85;0;0;1;False
2022-06-26;2;81;0;0;1;False
2022-07-03;2;89;0;0;1;False
2022-07-10;2;91;0;0;1;False
2022-07-17;2;86;2;0;1;False
2022-07-24;3;84;1;0;1;False
2022-07-31;2;84;0;0;1;False
2022-08-07;2;89;0;0;1;False
2022-08-14;3;81;0;0;1;False
2022-08-21;3;80;1;0;1;False
2022-08-28;3;82;1;0;1;False
2022-09-04;3;86;0;0;1;False
2022-09-11;3;84;1;0;1;False
2022-09-18;4;79;1;0;1;False
2022-09-25;4;82;1;0;1;False
2022-10-02;3;85;1;0;1;False
2022-10-09;3;78;1;0;1;False
2022-10-16;4;79;1;0;1;False
2022-10-23;5;74;1;0;1;False
2022-10-30;4;78;1;0;1;False
2022-11-06;4;75;0;0;1;False
2022-11-13;5;81;0;0;1;False
2022-11-20;5;69;0;0;1;False
2022-11-27;6;74;0;0;1;False
2022-12-04;7;72;0;0;1;False
2022-12-11;11;67;0;0;1;False
2022-12-18;17;63;1;0;1;False
2022-12-25;100;45;1;0;1;False
2023-01-01;62;70;1;0;1;False
2023-01-08;20;79;0;0;1;False
2023-01-15;42;81;1;0;1;False
2023-01-22;70;81;1;0;1;False
2023-01-29;6;87;1;0;1;False
