date;Mitchells & Butlers;Energy industry;Seth Rogen;Tom Brady;air travel;isPartial
2022-01-02;1;1;7;15;20;False
2022-01-09;1;2;6;13;22;False
2022-01-16;1;1;8;19;17;False
2022-01-23;0;2;8;74;19;False
2022-01-30;1;2;12;100;22;False
2022-02-06;1;2;11;19;22;False
2022-02-13;1;2;9;22;22;False
2022-02-20;1;2;9;7;22;False
2022-02-27;1;2;8;5;19;False
2022-03-06;0;2;6;21;20;False
2022-03-13;1;2;6;90;20;False
2022-03-20;0;2;5;12;20;False
2022-03-27;0;2;7;9;21;False
2022-04-03;0;2;4;8;19;False
2022-04-10;1;1;6;9;17;False
2022-04-17;1;2;8;8;19;False
2022-04-24;0;2;5;7;19;False
2022-05-01;0;1;6;9;20;False
2022-05-08;0;1;5;18;20;False
2022-05-15;0;2;5;7;21;False
2022-05-22;0;2;6;6;20;False
2022-05-29;1;1;8;6;20;False
2022-06-05;0;2;7;5;23;False
2022-06-12;0;1;7;5;20;False
2022-06-19;0;1;7;5;18;False
2022-06-26;0;2;7;10;20;False
2022-07-03;0;1;5;5;21;False
2022-07-10;0;1;5;6;22;False
2022-07-17;0;1;5;5;20;False
2022-07-24;0;0;4;4;20;False
2022-07-31;0;1;5;6;18;False
2022-08-07;0;1;6;5;18;False
2022-08-14;1;1;7;6;17;False
2022-08-21;0;1;5;7;15;False
2022-08-28;1;2;7;9;17;False
2022-09-04;1;2;5;19;18;False
2022-09-11;0;2;5;29;16;False
2022-09-18;0;1;4;19;15;False
2022-09-25;1;2;5;12;15;False
2022-10-02;0;3;8;42;15;False
2022-10-09;0;2;5;20;14;False
2022-10-16;1;2;4;14;13;False
2022-10-23;0;2;5;33;12;False
2022-10-30;0;2;4;15;12;False
2022-11-06;1;2;5;17;13;False
2022-11-13;0;3;6;17;11;False
2022-11-20;0;2;4;11;14;False
2022-11-27;1;2;5;7;14;False
2022-12-04;1;2;5;11;12;False
2022-12-11;1;2;7;12;12;False
2022-12-18;0;1;9;12;11;False
2022-12-25;1;1;7;14;15;False
2023-01-01;0;2;5;18;17;False
2023-01-08;0;2;5;15;16;False
2023-01-15;0;2;8;22;16;False
2023-01-22;0;2;6;11;14;False
2023-01-29;1;2;8;56;15;False
