date;rihanna;europe;The Muppets;The Virgin Suicides;air travel;isPartial
2022-01-02;5;39;1;0;2;False
2022-01-09;4;38;0;0;2;False
2022-01-16;5;43;1;0;2;False
2022-01-23;5;45;1;0;2;False
2022-01-30;41;45;1;0;2;False
2022-02-06;8;45;0;0;2;False
2022-02-13;7;50;1;0;2;False
2022-02-20;6;100;0;0;2;False
2022-02-27;7;82;1;0;2;False
2022-03-06;6;59;0;0;2;False
2022-03-13;7;55;0;0;2;False
2022-03-20;6;60;0;0;2;False
2022-03-27;7;50;0;0;2;False
2022-04-03;6;49;0;0;2;False
2022-04-10;20;46;1;0;2;False
2022-04-17;9;51;1;0;2;False
2022-04-24;6;51;1;0;2;False
2022-05-01;7;61;1;0;2;False
2022-05-08;6;56;1;0;2;False
2022-05-15;10;55;1;0;2;False
2022-05-22;7;49;1;0;2;False
2022-05-29;6;47;1;0;2;False
2022-06-05;5;50;0;0;3;False
2022-06-12;5;48;1;0;2;False
2022-06-19;5;46;1;0;2;False
2022-06-26;6;48;1;0;2;False
2022-07-03;6;50;1;0;2;False
2022-07-10;5;54;0;0;2;False
2022-07-17;4;58;1;0;2;False
2022-07-24;5;53;1;0;2;False
2022-07-31;4;50;0;0;2;False
2022-08-07;4;47;0;0;2;False
2022-08-14;5;48;0;0;2;False
2022-08-21;5;50;1;0;2;False
2022-08-28;4;49;1;0;2;False
2022-09-04;4;46;0;0;2;False
2022-09-11;5;46;1;0;2;False
2022-09-18;4;45;1;0;2;False
2022-09-25;7;46;1;0;2;False
2022-10-02;4;46;1;0;2;False
2022-10-09;5;44;1;0;2;False
2022-10-16;5;43;1;0;1;False
2022-10-23;9;45;1;0;1;False
2022-10-30;7;40;1;0;1;False
2022-11-06;7;47;1;0;2;False
2022-11-13;6;44;1;0;1;False
2022-11-20;5;39;1;0;2;False
2022-11-27;6;40;1;0;2;False
2022-12-04;4;37;1;0;1;False
2022-12-11;5;38;2;0;1;False
2022-12-18;6;37;2;0;1;False
2022-12-25;5;40;1;0;2;False
2023-01-01;4;55;1;0;2;False
2023-01-08;5;51;1;0;2;False
2023-01-15;4;55;1;0;2;False
2023-01-22;5;52;0;0;2;False
2023-01-29;5;51;1;0;2;False
