date;Tax avoidance;nato;Spa breaks;Dance music;air travel;isPartial
2022-01-02;1;0;18;6;8;False
2022-01-09;1;0;19;7;8;False
2022-01-16;1;0;16;6;6;False
2022-01-23;1;0;16;7;7;False
2022-01-30;1;0;14;7;8;False
2022-02-06;1;0;14;6;8;False
2022-02-13;1;0;12;6;8;False
2022-02-20;1;0;12;6;8;False
2022-02-27;1;0;11;6;7;False
2022-03-06;1;0;11;6;8;False
2022-03-13;1;0;11;7;8;False
2022-03-20;1;0;11;6;7;False
2022-03-27;1;0;9;6;8;False
2022-04-03;1;35;9;6;7;False
2022-04-10;1;43;9;7;6;False
2022-04-17;1;32;8;6;7;False
2022-04-24;1;38;8;6;7;False
2022-05-01;1;30;9;7;7;False
2022-05-08;1;59;9;6;8;False
2022-05-15;1;72;8;6;8;False
2022-05-22;1;21;9;6;7;False
2022-05-29;1;19;8;6;8;False
2022-06-05;1;18;8;6;8;False
2022-06-12;1;18;7;6;7;False
2022-06-19;1;22;9;7;7;False
2022-06-26;1;46;8;6;7;False
2022-07-03;1;19;9;6;8;False
2022-07-10;1;13;9;6;8;False
2022-07-17;1;13;8;6;8;False
2022-07-24;1;14;10;6;8;False
2022-07-31;1;15;10;6;7;False
2022-08-07;1;11;9;6;7;False
2022-08-14;1;11;9;5;7;False
2022-08-21;1;12;10;6;6;False
2022-08-28;1;11;9;6;6;False
2022-09-04;1;13;10;5;7;False
2022-09-11;1;14;10;7;6;False
2022-09-18;1;19;9;6;6;False
2022-09-25;1;27;10;5;6;False
2022-10-02;1;22;9;6;6;False
2022-10-09;1;23;9;6;5;False
2022-10-16;1;18;9;6;5;False
2022-10-23;1;14;9;5;4;False
2022-10-30;1;15;9;6;4;False
2022-11-06;1;11;9;7;5;False
2022-11-13;1;100;8;5;4;False
2022-11-20;1;13;8;5;5;False
2022-11-27;1;13;8;6;5;False
2022-12-04;1;12;8;5;4;False
2022-12-11;1;10;9;7;4;False
2022-12-18;1;14;10;6;4;False
2022-12-25;0;12;10;7;6;False
2023-01-01;1;12;14;6;6;False
2023-01-08;1;13;11;6;6;False
2023-01-15;2;14;12;6;6;False
2023-01-22;1;21;13;6;5;False
2023-01-29;1;18;11;7;6;False
