date;Magnum;taliban;Beach holidays;Fantasy books;air travel;isPartial
2023-01-01;30;5;77;4;11;False
2023-01-02;22;4;93;3;13;False
2023-01-03;19;6;77;4;9;False
2023-01-04;20;6;76;2;13;False
2023-01-05;18;12;63;2;11;False
2023-01-06;23;63;66;3;11;False
2023-01-07;23;41;75;4;8;False
2023-01-08;30;33;100;4;12;False
2023-01-09;20;23;73;4;7;False
2023-01-10;24;18;70;3;11;False
2023-01-11;20;30;70;2;13;False
2023-01-12;25;26;62;2;11;False
2023-01-13;22;12;55;3;9;False
2023-01-14;24;13;77;6;8;False
2023-01-15;27;10;86;4;10;False
2023-01-16;20;10;63;3;10;False
2023-01-17;21;7;56;4;8;False
2023-01-18;23;15;59;3;12;False
2023-01-19;25;8;50;1;11;False
2023-01-20;24;7;53;1;9;False
2023-01-21;24;6;77;3;9;False
2023-01-22;22;5;79;3;10;False
2023-01-23;23;4;57;4;10;False
2023-01-24;23;7;64;2;8;False
2023-01-25;22;3;56;2;11;False
2023-01-26;22;4;52;2;10;False
2023-01-27;27;4;53;3;7;False
2023-01-28;24;4;57;3;10;False
2023-01-29;23;4;70;2;9;False
2023-01-30;22;7;60;4;15;False
2023-01-31;25;6;55;3;12;False
