date;Laws of football;duchess of cambridge;UK cost of living crisis;John Gielgud;air travel;isPartial
2022-01-02;1;54;0;2;68;False
2022-01-09;2;98;2;10;75;False
2022-01-16;0;34;2;4;58;False
2022-01-23;2;38;1;0;64;False
2022-01-30;1;48;2;2;73;False
2022-02-06;0;50;3;2;73;False
2022-02-13;1;37;3;1;73;False
2022-02-20;1;52;0;1;75;False
2022-02-27;1;33;3;1;65;False
2022-03-06;2;26;5;2;69;False
2022-03-13;1;40;4;2;68;False
2022-03-20;0;88;7;3;67;False
2022-03-27;2;47;6;1;71;False
2022-04-03;0;27;10;1;65;False
2022-04-10;0;28;7;4;56;False
2022-04-17;1;37;5;1;62;False
2022-04-24;1;36;10;3;64;False
2022-05-01;1;32;11;1;66;False
2022-05-08;2;34;7;1;68;False
2022-05-15;1;45;14;3;71;False
2022-05-22;1;33;18;1;67;False
2022-05-29;0;78;8;1;68;False
2022-06-05;0;79;11;2;76;False
2022-06-12;0;54;11;0;66;False
2022-06-19;1;51;14;1;62;False
2022-06-26;0;32;9;2;66;False
2022-07-03;0;60;12;2;70;False
2022-07-10;0;56;12;1;73;False
2022-07-17;0;29;9;2;69;False
2022-07-24;0;27;10;2;68;False
2022-07-31;0;42;11;1;62;False
2022-08-07;0;22;24;2;60;False
2022-08-14;1;25;18;0;59;False
2022-08-21;3;32;37;2;51;False
2022-08-28;2;28;38;2;56;False
2022-09-04;2;100;28;2;61;False
2022-09-11;3;43;14;1;53;False
2022-09-18;1;34;16;1;50;False
2022-09-25;2;20;19;8;52;False
2022-10-02;2;16;11;2;50;False
2022-10-09;1;15;13;1;48;False
2022-10-16;0;10;19;2;44;False
2022-10-23;1;12;13;2;41;False
2022-10-30;0;14;16;2;40;False
2022-11-06;2;14;14;5;45;False
2022-11-13;1;15;15;1;38;False
2022-11-20;2;14;11;0;48;False
2022-11-27;1;20;13;1;46;False
2022-12-04;0;15;17;1;39;False
2022-12-11;2;19;13;3;40;False
2022-12-18;2;19;12;2;38;False
2022-12-25;1;15;7;3;50;False
2023-01-01;1;11;11;3;58;False
2023-01-08;1;12;11;2;54;False
2023-01-15;1;8;8;2;52;False
2023-01-22;3;12;10;1;48;False
2023-01-29;1;11;10;4;52;False
